,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119
10,10,0.030,0.099,0.099,0.025,0.081,0.122,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.050,0.121,0.081,0.030,0.014,0.030,0.030,0.087,0.030,0.025,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.038,0.038,0.057,0.121,0.030,0.030,0.026,0.030,0.121,0.038,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.099,0.099,0.025,0.081,0.122,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.050,0.121,0.081,0.030,0.014,0.030,0.030,0.087,0.030,0.025,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.038,0.038,0.057,0.121,0.030,0.030,0.026,0.030,0.121,0.038,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
11,11,0.899,0.899,0.899,0.483,0.871,0.899,0.899,0.899,0.785,0.899,0.899,0.899,0.899,0.899,0.842,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.483,0.899,0.886,0.899,0.891,0.887,0.899,0.857,0.899,0.891,0.899,0.899,0.899,0.899,0.891,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.891,0.891,0.899,0.886,0.886,0.899,0.899,0.899,0.886,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.483,0.871,0.899,0.899,0.899,0.785,0.899,0.899,0.899,0.899,0.899,0.842,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.483,0.899,0.886,0.899,0.891,0.887,0.899,0.857,0.899,0.891,0.899,0.899,0.899,0.899,0.891,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.891,0.891,0.899,0.886,0.886,0.899,0.899,0.899,0.886,0.899,0.899,0.899,0.899,0.899
12,12,0.002,0.002,0.002,0.002,0.001,0.002,0.006,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.004,0.001,0.006,0.002,0.002,0.006,0.001,0.002,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004,0.002,0.004,0.002,0.004,0.004,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.006,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.004,0.001,0.006,0.002,0.002,0.006,0.001,0.002,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004,0.002,0.004,0.002,0.004,0.004,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
13,13,0.043,0.043,0.086,0.057,0.154,0.059,0.043,0.043,0.057,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.118,0.180,0.123,0.043,0.094,0.043,0.043,0.249,0.043,0.059,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.119,0.119,0.043,0.278,0.148,0.043,0.078,0.078,0.278,0.278,0.043,0.043,0.043,0.043,0.148,0.043,0.043,0.043,0.043,0.043,0.043,0.086,0.057,0.154,0.059,0.043,0.043,0.057,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.118,0.180,0.123,0.043,0.094,0.043,0.043,0.249,0.043,0.059,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.119,0.119,0.043,0.278,0.148,0.043,0.078,0.078,0.278,0.278,0.043,0.043,0.043,0.043,0.148,0.043,0.043,0.043,0.043,0.043
14,14,0.985,0.985,0.858,0.985,0.985,0.917,0.942,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.945,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.951,0.953,0.953,0.985,0.985,0.953,0.953,0.985,0.945,0.985,0.985,0.985,0.985,0.985,0.953,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.953,0.985,0.985,0.985,0.985,0.953,0.953,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.858,0.985,0.985,0.917,0.942,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.945,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.951,0.953,0.953,0.985,0.985,0.953,0.953,0.985,0.945,0.985,0.985,0.985,0.985,0.985,0.953,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.953,0.985,0.985,0.985,0.985,0.953,0.953,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
15,15,0.996,0.996,0.996,0.996,0.893,0.996,0.996,0.996,0.906,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.860,0.996,0.996,0.996,0.996,0.860,0.996,0.893,0.996,0.996,0.996,0.901,0.996,0.996,0.996,0.996,0.996,0.901,0.901,0.906,0.901,0.901,0.901,0.996,0.996,0.872,0.872,0.996,0.899,0.899,0.996,0.899,0.901,0.899,0.906,0.899,0.899,0.899,0.996,0.996,0.996,0.893,0.996,0.996,0.996,0.906,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.860,0.996,0.996,0.996,0.996,0.860,0.996,0.893,0.996,0.996,0.996,0.901,0.996,0.996,0.996,0.996,0.996,0.901,0.901,0.906,0.901,0.901,0.901,0.996,0.996,0.872,0.872,0.996,0.899,0.899,0.996,0.899,0.901,0.899,0.906,0.899,0.899,0.899
16,16,0.928,0.928,0.630,0.599,0.864,0.870,0.928,0.928,0.796,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.656,0.928,0.928,0.928,0.928,0.861,0.928,0.861,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.862,0.861,0.928,0.928,0.815,0.861,0.861,0.862,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.630,0.599,0.864,0.870,0.928,0.928,0.796,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.656,0.928,0.928,0.928,0.928,0.861,0.928,0.861,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.862,0.861,0.928,0.928,0.815,0.861,0.861,0.862,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928
17,17,0.984,0.984,0.934,0.984,0.936,0.936,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.891,0.984,0.891,0.984,0.984,0.891,0.984,0.934,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.891,0.891,0.891,0.984,0.984,0.891,0.891,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.934,0.984,0.936,0.936,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.891,0.984,0.891,0.984,0.984,0.891,0.984,0.934,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.891,0.891,0.891,0.984,0.984,0.891,0.891,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984
18,18,0.934,0.934,0.932,0.934,0.935,0.889,0.934,0.934,0.810,0.934,0.934,0.794,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.889,0.889,0.889,0.934,0.934,0.934,0.934,0.935,0.934,0.935,0.794,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.889,0.889,0.889,0.934,0.934,0.934,0.889,0.889,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.932,0.934,0.935,0.889,0.934,0.934,0.810,0.934,0.934,0.794,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.889,0.889,0.889,0.934,0.934,0.934,0.934,0.935,0.934,0.935,0.794,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.889,0.889,0.889,0.934,0.934,0.934,0.889,0.889,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934
19,19,0.894,0.894,0.894,0.894,0.894,0.890,0.894,0.894,0.832,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.933,0.887,0.894,0.894,0.876,0.894,0.894,0.890,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.887,0.887,0.894,0.890,0.894,0.894,0.894,0.894,0.890,0.887,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.890,0.894,0.894,0.832,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.933,0.887,0.894,0.894,0.876,0.894,0.894,0.890,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.887,0.887,0.894,0.890,0.894,0.894,0.894,0.894,0.890,0.887,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894
20,20,0.817,0.817,0.817,0.874,0.817,0.893,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.874,0.817,0.817,0.817,0.817,0.817,0.817,0.977,0.893,0.817,0.817,0.876,0.817,0.874,0.876,0.817,0.817,0.874,0.817,0.874,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.944,0.893,0.817,0.893,0.879,0.817,0.817,0.879,0.893,0.893,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.874,0.817,0.893,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.874,0.817,0.817,0.817,0.817,0.817,0.817,0.977,0.893,0.817,0.817,0.876,0.817,0.874,0.876,0.817,0.817,0.874,0.817,0.874,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.944,0.893,0.817,0.893,0.879,0.817,0.817,0.879,0.893,0.893,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817
21,21,0.922,0.922,0.922,0.922,0.868,0.919,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.919,0.919,0.894,0.922,0.922,0.922,0.922,0.922,0.922,0.868,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.919,0.919,0.919,0.919,0.922,0.922,0.922,0.922,0.919,0.919,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.868,0.919,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.919,0.919,0.894,0.922,0.922,0.922,0.922,0.922,0.922,0.868,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.919,0.919,0.919,0.919,0.922,0.922,0.922,0.922,0.919,0.919,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922
22,22,0.981,0.981,0.981,0.933,0.933,0.981,0.981,0.981,0.755,0.981,0.981,0.981,0.951,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.951,0.981,0.981,0.933,0.981,0.981,0.981,0.981,0.934,0.981,0.933,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.934,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.933,0.933,0.981,0.981,0.981,0.755,0.981,0.981,0.981,0.951,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.951,0.981,0.981,0.933,0.981,0.981,0.981,0.981,0.934,0.981,0.933,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.934,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981
23,23,0.990,0.990,0.990,0.990,0.990,0.949,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.986,0.949,0.990,0.940,0.990,0.990,0.990,0.990,0.990,0.937,0.990,0.990,0.990,0.940,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.949,0.990,0.990,0.990,0.949,0.990,0.990,0.949,0.990,0.949,0.990,0.949,0.949,0.940,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.949,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.986,0.949,0.990,0.940,0.990,0.990,0.990,0.990,0.990,0.937,0.990,0.990,0.990,0.940,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.949,0.990,0.990,0.990,0.949,0.990,0.990,0.949,0.990,0.949,0.990,0.949,0.949,0.940,0.990,0.990,0.990,0.990,0.990
24,24,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.986,0.812,0.611,0.986,0.987,0.987,0.609,0.987,0.987,0.987,0.609,0.987,0.987,0.987,0.987,0.609,0.987,0.987,0.987,0.609,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.929,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.949,0.949,0.987,0.987,0.949,0.987,0.949,0.949,0.949,0.929,0.949,0.949,0.987,0.987,0.987,0.941,0.987,0.987,0.987,0.987,0.987,0.987,0.986,0.812,0.611,0.986,0.987,0.987,0.609,0.987,0.987,0.987,0.609,0.987,0.987,0.987,0.987,0.609,0.987,0.987,0.987,0.609,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.929,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.949,0.949,0.987,0.987,0.949,0.987,0.949,0.949,0.949,0.929,0.949,0.949,0.987,0.987,0.987,0.941
25,25,0.979,0.979,0.979,0.979,0.908,0.938,0.979,0.979,0.876,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.849,0.979,0.862,0.979,0.979,0.862,0.979,0.908,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.862,0.862,0.979,0.979,0.862,0.862,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.908,0.938,0.979,0.979,0.876,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.849,0.979,0.862,0.979,0.979,0.862,0.979,0.908,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.862,0.862,0.979,0.979,0.862,0.862,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979
26,26,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.920,0.989,0.989,0.989,0.989,0.920,0.920,0.989,0.920,0.920,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.920,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.920,0.989,0.989,0.989,0.989,0.920,0.920,0.989,0.920,0.920,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.920,0.989,0.989,0.989,0.989,0.989,0.989,0.989
