,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59
10,10,0.994,0.994,0.994,0.994,0.994,0.994,0.957,0.994,0.994,0.994,0.957,0.957,0.976,0.975,0.816,0.975,0.994,0.994,0.957,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.957,0.994,0.994,0.994,0.789,0.975,0.957,0.857,0.973,0.703,0.975,0.931,0.994,0.994,0.994,0.976,0.994,0.994,0.994,0.994,0.994,0.973,0.994,0.994,0.666,0.804,0.994,0.630,0.666,0.666,0.777,0.994,0.777,0.994
11,11,0.190,0.850,0.455,0.190,0.309,0.963,0.782,0.930,0.934,0.314,0.190,0.190,0.190,0.930,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.455,0.190,0.944,0.716,0.629,0.930,0.944,0.944,0.919,0.190,0.190,0.190,0.190,0.190,0.190,0.930,0.190,0.190,0.190,0.190,0.944,0.944,0.918,0.190,0.933,0.190,0.936,0.944,0.918,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190,0.190
12,12,0.946,0.946,0.946,0.946,0.946,0.832,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.830,0.946,0.946,0.830,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.893,0.946,0.893,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.786,0.946,0.946,0.946,0.946,0.946,0.946
13,13,0.991,0.991,0.991,0.991,0.991,0.991,0.899,0.991,0.991,0.991,0.991,0.975,0.975,0.975,0.893,0.975,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.961,0.991,0.963,0.991,0.927,0.961,0.991,0.991,0.968,0.975,0.991,0.968,0.931,0.892,0.975,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.803,0.665,0.888,0.755,0.697,0.960,0.968,0.991,0.968,0.991
14,14,0.994,0.994,0.994,0.994,0.994,0.989,0.707,0.994,0.994,0.726,0.927,0.747,0.994,0.994,0.738,0.994,0.994,0.994,0.927,0.994,0.994,0.994,0.994,0.966,0.994,0.958,0.994,0.657,0.966,0.994,0.994,0.622,0.994,0.927,0.994,0.608,0.889,0.994,0.927,0.726,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.637,0.994,0.994,0.636,0.608,0.629,0.994,0.994,0.994,0.994
15,15,0.999,0.999,0.938,0.999,0.999,0.999,0.999,0.999,0.998,0.999,0.938,0.965,0.999,0.999,0.999,0.999,0.992,0.994,0.999,0.999,0.999,0.999,0.999,0.999,0.935,0.999,0.999,0.999,0.935,0.999,0.999,0.935,0.935,0.999,0.935,0.999,0.994,0.994,0.999,0.965,0.994,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.938,0.999,0.999,0.999,0.999,0.999
16,16,0.996,0.996,0.996,0.996,0.996,0.996,0.944,0.996,0.996,0.996,0.996,0.991,0.991,0.991,0.793,0.991,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.950,0.966,0.996,0.950,0.996,0.967,0.991,0.996,0.967,0.961,0.828,0.991,0.950,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.817,0.795,0.913,0.828,0.783,0.817,0.967,0.996,0.967,0.996
17,17,0.637,0.637,0.865,0.637,0.564,0.763,0.564,0.637,0.637,0.564,0.718,0.397,0.637,0.637,0.500,0.637,0.637,0.637,0.397,0.637,0.637,0.865,0.637,0.664,0.535,0.572,0.865,0.605,0.664,0.835,0.637,0.397,0.637,0.397,0.637,0.637,0.538,0.637,0.652,0.637,0.637,0.550,0.308,0.637,0.637,0.637,0.637,0.637,0.550,0.637,0.836,0.637,0.637,0.637,0.565,0.637,0.637,0.637,0.637,0.637,0.637
18,18,0.940,0.940,0.974,0.940,0.940,0.956,0.862,0.940,0.940,0.940,0.974,0.940,0.846,0.940,0.967,0.846,0.940,0.940,0.940,0.860,0.940,0.847,0.940,0.940,0.790,0.860,0.940,0.940,0.847,0.924,0.940,0.940,0.847,0.940,0.847,0.940,0.846,0.846,0.953,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.821,0.940,0.940,0.821,0.821,0.940,0.940,0.866,0.940,0.940,0.821,0.940,0.940,0.847
19,19,0.859,0.859,0.832,0.859,0.395,0.566,0.565,0.859,0.423,0.859,0.832,0.859,0.859,0.859,0.783,0.859,0.821,0.859,0.859,0.379,0.859,0.859,0.859,0.554,0.395,0.583,0.856,0.859,0.592,0.856,0.859,0.859,0.859,0.859,0.859,0.397,0.586,0.859,0.861,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.595,0.600,0.591,0.590,0.859,0.380,0.859,0.859,0.859,0.859
20,20,0.605,0.605,0.881,0.605,0.605,0.898,0.714,0.605,0.605,0.605,0.893,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.869,0.605,0.736,0.551,0.647,0.605,0.605,0.736,0.815,0.605,0.605,0.605,0.605,0.605,0.605,0.555,0.605,0.870,0.605,0.605,0.683,0.683,0.605,0.605,0.683,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.779,0.605,0.605,0.605,0.605,0.605,0.605
21,21,0.933,0.933,0.996,0.920,0.933,0.990,0.952,0.919,0.920,0.933,0.996,0.647,0.933,0.933,0.985,0.933,0.933,0.933,0.933,0.933,0.933,0.996,0.933,0.750,0.917,0.615,0.978,0.750,0.750,0.978,0.933,0.615,0.933,0.933,0.933,0.933,0.978,0.933,0.978,0.933,0.933,0.984,0.754,0.919,0.933,0.933,0.933,0.919,0.952,0.933,0.933,0.623,0.623,0.933,0.960,0.933,0.615,0.933,0.933,0.933,0.933
22,22,0.727,0.727,0.789,0.727,0.727,0.876,0.566,0.727,0.727,0.727,0.789,0.727,0.727,0.727,0.558,0.727,0.727,0.727,0.727,0.727,0.727,0.741,0.727,0.727,0.766,0.727,0.633,0.727,0.727,0.766,0.727,0.727,0.727,0.727,0.727,0.727,0.741,0.727,0.789,0.727,0.727,0.727,0.727,0.727,0.727,0.661,0.727,0.727,0.727,0.661,0.725,0.566,0.727,0.655,0.663,0.655,0.566,0.727,0.727,0.727,0.727
23,23,0.928,0.928,0.858,0.928,0.860,0.933,0.869,0.928,0.928,0.860,0.858,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.867,0.928,0.869,0.867,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.867,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928
24,24,0.242,0.762,0.279,0.872,0.136,0.265,0.280,0.242,0.242,0.170,0.250,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.280,0.838,0.653,0.211,0.230,0.239,0.898,0.653,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.911,0.901,0.278,0.896,0.887,0.887,0.278,0.887,0.911,0.242,0.085,0.072,0.245,0.242,0.245,0.072,0.242,0.245,0.242,0.242
25,25,0.978,0.978,0.979,0.978,0.978,0.967,0.620,0.978,0.978,0.978,0.979,0.978,0.978,0.978,0.835,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.890,0.893,0.910,0.978,0.890,0.890,0.962,0.978,0.978,0.978,0.978,0.978,0.978,0.657,0.978,0.969,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.620,0.978,0.624,0.838,0.624,0.426,0.978,0.978,0.978,0.978
26,26,0.312,0.312,0.854,0.312,0.771,0.868,0.312,0.312,0.312,0.771,0.854,0.312,0.312,0.312,0.901,0.312,0.312,0.312,0.312,0.312,0.312,0.854,0.312,0.312,0.854,0.312,0.854,0.782,0.312,0.854,0.312,0.312,0.312,0.312,0.312,0.312,0.854,0.312,0.854,0.312,0.312,0.796,0.796,0.312,0.312,0.312,0.312,0.312,0.796,0.312,0.901,0.312,0.312,0.312,0.854,0.312,0.312,0.312,0.312,0.312,0.312
27,27,0.817,0.817,0.936,0.817,0.698,0.792,0.686,0.817,0.817,0.678,0.936,0.817,0.817,0.817,0.615,0.817,0.817,0.817,0.817,0.817,0.817,0.936,0.817,0.715,0.736,0.814,0.817,0.715,0.715,0.736,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.732,0.794,0.817,0.817,0.732,0.817,0.817,0.817,0.817,0.817,0.769,0.794,0.817,0.760,0.769,0.769,0.817,0.817,0.817,0.817
28,28,0.931,0.931,0.983,0.931,0.931,0.972,0.718,0.931,0.931,0.931,0.983,0.931,0.931,0.931,0.717,0.931,0.931,0.931,0.931,0.931,0.931,0.983,0.931,0.931,0.919,0.931,0.883,0.718,0.931,0.883,0.931,0.931,0.931,0.931,0.931,0.931,0.880,0.931,0.880,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.919,0.805,0.734,0.931,0.801,0.804,0.805,0.931,0.931,0.931,0.931
29,29,0.956,0.956,0.982,0.956,0.956,0.956,0.764,0.956,0.956,0.956,0.799,0.625,0.956,0.956,0.699,0.956,0.956,0.956,0.625,0.956,0.956,0.980,0.956,0.764,0.921,0.956,0.956,0.764,0.764,0.947,0.956,0.625,0.956,0.625,0.956,0.956,0.675,0.956,0.751,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.768,0.956,0.768,0.675,0.956,0.760,0.956,0.956,0.956,0.956
30,30,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.980,0.981,0.981,0.980,0.981,0.981,0.981,0.981,0.981,0.981,0.980,0.981,0.980,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.980,0.981,0.981,0.981,0.981,0.981,0.981
31,31,0.979,0.979,0.982,0.979,0.979,0.961,0.884,0.979,0.979,0.918,0.982,0.979,0.927,0.979,0.971,0.927,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.884,0.929,0.928,0.979,0.884,0.931,0.985,0.979,0.874,0.927,0.979,0.874,0.979,0.961,0.927,0.927,0.979,0.914,0.979,0.884,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.874,0.979,0.979,0.927,0.979,0.979,0.874,0.979,0.979,0.914
32,32,0.556,0.556,0.904,0.556,0.556,0.656,0.556,0.556,0.556,0.556,0.904,0.560,0.556,0.556,0.530,0.556,0.556,0.556,0.560,0.556,0.556,0.904,0.556,0.556,0.899,0.556,0.567,0.556,0.556,0.899,0.556,0.556,0.556,0.556,0.556,0.556,0.642,0.556,0.899,0.556,0.556,0.760,0.761,0.556,0.556,0.761,0.556,0.556,0.573,0.556,0.582,0.556,0.556,0.556,0.899,0.556,0.556,0.556,0.556,0.556,0.556
33,33,0.982,0.982,0.995,0.982,0.982,0.995,0.946,0.982,0.985,0.982,0.995,0.963,0.939,0.963,0.925,0.938,0.982,0.982,0.985,0.982,0.982,0.986,0.982,0.982,0.922,0.982,0.936,0.982,0.982,0.962,0.982,0.931,0.938,0.982,0.931,0.982,0.891,0.938,0.908,0.982,0.980,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.972,0.719,0.961,0.946,0.771,0.907,0.946,0.931,0.982,0.961,0.980
34,34,0.893,0.893,0.919,0.893,0.893,0.963,0.893,0.893,0.893,0.893,0.918,0.593,0.607,0.593,0.937,0.593,0.893,0.893,0.610,0.893,0.893,0.826,0.893,0.893,0.918,0.893,0.906,0.893,0.893,0.918,0.893,0.562,0.593,0.893,0.562,0.893,0.685,0.893,0.685,0.893,0.893,0.943,0.952,0.893,0.893,0.792,0.893,0.610,0.592,0.893,0.860,0.603,0.603,0.893,0.916,0.893,0.893,0.562,0.592,0.562,0.893
35,35,0.996,0.996,0.996,0.996,0.996,0.996,0.971,0.996,0.996,0.970,0.996,0.985,0.985,0.985,0.953,0.985,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.937,0.996,0.996,0.996,0.937,0.937,0.996,0.996,0.985,0.985,0.996,0.985,0.996,0.856,0.985,0.915,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.780,0.717,0.971,0.876,0.781,0.971,0.985,0.996,0.985,0.996
36,36,0.993,0.993,0.993,0.993,0.993,0.991,0.920,0.993,0.993,0.993,0.993,0.993,0.986,0.993,0.991,0.986,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.946,0.991,0.993,0.890,0.991,0.993,0.986,0.986,0.993,0.986,0.920,0.749,0.986,0.981,0.993,0.986,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.793,0.920,0.871,0.796,0.910,0.918,0.986,0.993,0.993,0.986
37,37,0.877,0.939,0.877,0.979,0.877,0.877,0.880,0.956,0.877,0.470,0.877,0.877,0.877,0.877,0.748,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.939,0.438,0.877,0.877,0.979,0.941,0.472,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.932,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.932,0.942,0.935,0.877,0.877,0.935,0.940,0.932,0.731,0.936,0.936,0.877,0.877,0.877,0.877
38,38,0.728,0.728,0.728,0.728,0.730,0.734,0.730,0.728,0.728,0.625,0.728,0.728,0.728,0.728,0.742,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.769,0.728,0.732,0.728,0.602,0.708,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.829,0.728,0.796,0.728,0.728,0.690,0.708,0.728,0.728,0.728,0.730,0.728,0.674,0.728,0.728,0.708,0.626,0.674,0.702,0.514,0.690,0.728,0.728,0.728,0.728
39,39,0.934,0.980,0.934,0.994,0.934,0.934,0.973,0.986,0.934,0.722,0.934,0.855,0.883,0.855,0.860,0.855,0.934,0.934,0.934,0.934,0.934,0.934,0.980,0.708,0.934,0.934,0.994,0.974,0.736,0.934,0.934,0.710,0.855,0.934,0.741,0.934,0.932,0.855,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.938,0.976,0.977,0.934,0.934,0.934,0.939,0.938,0.770,0.934,0.934,0.710,0.934,0.934,0.934
40,40,0.989,0.989,0.971,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.971,0.989,0.933,0.989,0.989,0.933,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.971,0.989,0.989,0.989,0.989,0.971,0.989,0.989,0.971,0.989,0.971,0.989,0.989,0.933,0.993,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.971,0.989,0.989,0.989,0.989,0.989,0.971,0.989,0.989,0.971
41,41,0.933,0.933,0.973,0.933,0.933,0.826,0.672,0.933,0.933,0.933,0.973,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.974,0.933,0.708,0.961,0.708,0.933,0.708,0.708,0.975,0.933,0.933,0.933,0.933,0.933,0.933,0.784,0.933,0.891,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.686,0.933,0.933,0.933,0.672,0.686,0.933,0.933,0.933,0.933
42,42,0.981,0.981,0.981,0.981,0.981,0.981,0.809,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.778,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.792,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.769,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.808,0.981,0.981,0.981,0.805,0.830,0.809,0.805,0.809,0.805,0.981,0.981,0.981,0.981
43,43,0.386,0.386,0.676,0.386,0.306,0.482,0.536,0.386,0.386,0.290,0.676,0.386,0.386,0.386,0.403,0.386,0.386,0.386,0.386,0.386,0.386,0.673,0.386,0.523,0.363,0.220,0.401,0.564,0.560,0.537,0.386,0.386,0.386,0.386,0.386,0.386,0.402,0.386,0.402,0.386,0.386,0.528,0.601,0.386,0.386,0.440,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.221,0.386,0.386,0.386,0.386,0.386,0.386
44,44,0.869,0.869,0.790,0.869,0.869,0.880,0.869,0.869,0.869,0.869,0.790,0.869,0.869,0.869,0.646,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.787,0.869,0.821,0.775,0.679,0.787,0.869,0.869,0.869,0.869,0.869,0.869,0.842,0.869,0.842,0.869,0.869,0.782,0.782,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.946,0.869,0.869,0.869,0.869,0.869,0.869
45,45,0.718,0.718,0.718,0.902,0.718,0.718,0.601,0.972,0.982,0.953,0.718,0.718,0.718,0.718,0.828,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.900,0.718,0.718,0.718,0.902,0.953,0.953,0.788,0.718,0.718,0.718,0.718,0.718,0.718,0.912,0.718,0.891,0.718,0.718,0.952,0.952,0.718,0.718,0.718,0.718,0.962,0.718,0.718,0.718,0.616,0.600,0.718,0.839,0.577,0.616,0.718,0.718,0.718,0.718
46,46,0.407,0.407,0.876,0.407,0.747,0.906,0.821,0.407,0.407,0.747,0.876,0.407,0.407,0.407,0.852,0.407,0.407,0.407,0.407,0.407,0.407,0.876,0.407,0.821,0.864,0.407,0.874,0.821,0.823,0.874,0.407,0.407,0.407,0.407,0.407,0.407,0.871,0.407,0.871,0.407,0.407,0.823,0.823,0.407,0.407,0.407,0.407,0.407,0.864,0.823,0.407,0.407,0.407,0.407,0.863,0.407,0.407,0.407,0.407,0.407,0.407
47,47,0.038,0.807,0.084,0.856,0.057,0.060,0.822,0.857,0.036,0.057,0.116,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.084,0.789,0.822,0.121,0.292,0.884,0.822,0.822,0.116,0.038,0.038,0.038,0.038,0.038,0.038,0.889,0.038,0.043,0.038,0.038,0.917,0.919,0.777,0.796,0.901,0.801,0.904,0.904,0.777,0.038,0.038,0.038,0.038,0.310,0.796,0.038,0.038,0.038,0.038,0.038
48,48,0.338,0.338,0.254,0.837,0.820,0.289,0.201,0.338,0.338,0.338,0.254,0.338,0.338,0.338,0.167,0.338,0.338,0.338,0.338,0.338,0.338,0.338,0.837,0.197,0.877,0.338,0.837,0.165,0.300,0.962,0.338,0.338,0.338,0.338,0.338,0.338,0.121,0.338,0.951,0.338,0.338,0.928,0.928,0.930,0.750,0.338,0.338,0.926,0.756,0.202,0.338,0.151,0.871,0.817,0.151,0.222,0.806,0.338,0.338,0.338,0.338
49,49,0.993,0.993,0.993,0.993,0.993,0.986,0.953,0.993,0.993,0.993,0.953,0.953,0.973,0.971,0.803,0.971,0.993,0.993,0.953,0.993,0.993,0.993,0.993,0.953,0.993,0.942,0.993,0.953,0.953,0.993,0.993,0.703,0.971,0.953,0.793,0.973,0.574,0.971,0.934,0.993,0.993,0.993,0.944,0.993,0.993,0.993,0.993,0.993,0.973,0.993,0.993,0.640,0.791,0.993,0.609,0.777,0.640,0.767,0.993,0.767,0.993
50,50,0.594,0.594,0.917,0.594,0.594,0.692,0.594,0.594,0.614,0.594,0.917,0.594,0.594,0.594,0.576,0.594,0.594,0.594,0.594,0.594,0.594,0.917,0.594,0.594,0.913,0.594,0.671,0.594,0.594,0.913,0.594,0.594,0.594,0.594,0.594,0.594,0.679,0.594,0.679,0.594,0.594,0.790,0.719,0.594,0.594,0.790,0.594,0.620,0.594,0.594,0.570,0.594,0.594,0.594,0.913,0.594,0.594,0.594,0.594,0.594,0.594
51,51,0.976,0.976,0.945,0.976,0.976,0.943,0.731,0.976,0.976,0.732,0.945,0.976,0.976,0.976,0.968,0.976,0.976,0.976,0.976,0.875,0.976,0.976,0.976,0.802,0.955,0.875,0.976,0.802,0.798,0.940,0.976,0.976,0.976,0.976,0.976,0.976,0.772,0.976,0.955,0.976,0.976,0.976,0.875,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.773,0.784,0.976,0.776,0.773,0.773,0.976,0.976,0.976,0.976
52,52,0.571,0.571,0.761,0.571,0.571,0.571,0.438,0.571,0.571,0.571,0.761,0.571,0.571,0.571,0.470,0.571,0.571,0.571,0.571,0.571,0.571,0.771,0.571,0.571,0.613,0.571,0.571,0.594,0.571,0.821,0.571,0.571,0.571,0.571,0.571,0.571,0.523,0.571,0.523,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.443,0.598,0.436,0.523,0.459,0.443,0.571,0.571,0.571,0.571
53,53,0.042,0.042,0.373,0.042,0.081,0.397,0.083,0.042,0.044,0.081,0.320,0.042,0.042,0.042,0.044,0.042,0.042,0.042,0.042,0.042,0.042,0.257,0.042,0.042,0.373,0.042,0.043,0.083,0.042,0.373,0.042,0.042,0.042,0.042,0.042,0.042,0.056,0.042,0.265,0.042,0.042,0.263,0.242,0.042,0.042,0.082,0.042,0.042,0.082,0.042,0.099,0.042,0.042,0.042,0.057,0.042,0.042,0.042,0.042,0.042,0.042
