,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59
20,20,0.369,0.369,0.369,0.501,0.219,0.615,0.369,0.369,0.369,0.215,0.369,0.527,0.544,0.517,0.517,0.544,0.527,0.206,0.369,0.087,0.369,0.369,0.483,0.616,0.666,0.369,0.369,0.369,0.588,0.657,0.184,0.369,0.420,0.369,0.369,0.369,0.369,0.579,0.369,0.369,0.369,0.451,0.473,0.473,0.179,0.105,0.356,0.473,0.069,0.369,0.223,0.245,0.359,0.320,0.677,0.420,0.369,0.369,0.597,0.473,0.655
21,21,0.705,0.076,0.343,0.705,0.515,0.676,0.705,0.705,0.172,0.093,0.076,0.262,0.663,0.705,0.705,0.705,0.848,0.330,0.705,0.480,0.705,0.099,0.057,0.240,0.083,0.705,0.705,0.088,0.062,0.051,0.107,0.054,0.663,0.705,0.234,0.705,0.705,0.094,0.705,0.705,0.705,0.082,0.705,0.705,0.705,0.045,0.705,0.705,0.705,0.705,0.107,0.183,0.234,0.052,0.642,0.052,0.052,0.705,0.088,0.705,0.823
22,22,0.911,0.911,0.911,0.911,0.118,0.706,0.911,0.911,0.118,0.118,0.911,0.319,0.835,0.911,0.911,0.835,0.911,0.180,0.911,0.805,0.911,0.109,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.109,0.109,0.911,0.911,0.911,0.911,0.911,0.911,0.027,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.066,0.911,0.911,0.052,0.911,0.911,0.094,0.911,0.911,0.911,0.118,0.911,0.911
23,23,0.351,0.351,0.351,0.273,0.276,0.250,0.351,0.351,0.351,0.214,0.351,0.557,0.256,0.272,0.277,0.256,0.354,0.351,0.351,0.124,0.351,0.351,0.310,0.179,0.393,0.351,0.351,0.351,0.165,0.393,0.126,0.391,0.197,0.351,0.351,0.351,0.351,0.185,0.351,0.351,0.351,0.390,0.329,0.154,0.436,0.387,0.337,0.218,0.328,0.289,0.303,0.227,0.149,0.487,0.272,0.112,0.217,0.351,0.276,0.280,0.295
24,24,0.041,0.014,0.034,0.092,0.137,0.041,0.041,0.014,0.041,0.034,0.041,0.202,0.041,0.041,0.041,0.041,0.202,0.041,0.041,0.106,0.041,0.034,0.036,0.030,0.041,0.006,0.041,0.034,0.402,0.034,0.036,0.041,0.041,0.041,0.041,0.041,0.041,0.106,0.041,0.041,0.041,0.030,0.036,0.030,0.043,0.034,0.030,0.036,0.049,0.041,0.030,0.202,0.041,0.041,0.041,0.041,0.041,0.041,0.106,0.041,0.041
25,25,0.382,0.072,0.303,0.382,0.093,0.063,0.374,0.382,0.072,0.223,0.072,0.198,0.327,0.382,0.382,0.382,0.382,0.382,0.382,0.133,0.382,0.096,0.057,0.097,0.382,0.382,0.382,0.098,0.031,0.064,0.157,0.281,0.052,0.382,0.281,0.382,0.382,0.085,0.382,0.382,0.382,0.076,0.052,0.382,0.382,0.032,0.108,0.072,0.053,0.382,0.139,0.382,0.064,0.024,0.298,0.060,0.382,0.382,0.117,0.382,0.382
26,26,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.854,0.716,0.986,0.986,0.806,0.986,0.986,0.986,0.716,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.854,0.857,0.986,0.854,0.986,0.986,0.852,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.716,0.849,0.986,0.852,0.849,0.852,0.852,0.986,0.986,0.986
27,27,0.211,0.211,0.211,0.211,0.820,0.859,0.211,0.211,0.211,0.211,0.211,0.211,0.190,0.211,0.211,0.211,0.211,0.211,0.211,0.666,0.211,0.401,0.692,0.401,0.851,0.211,0.211,0.211,0.692,0.692,0.401,0.211,0.210,0.211,0.211,0.211,0.211,0.778,0.211,0.211,0.211,0.692,0.820,0.211,0.211,0.692,0.820,0.211,0.363,0.211,0.363,0.211,0.233,0.211,0.211,0.233,0.211,0.211,0.211,0.363,0.211
28,28,0.936,0.936,0.936,0.899,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.841,0.875,0.936,0.936,0.936,0.899,0.936,0.936,0.841,0.936,0.936,0.936,0.899,0.936,0.936,0.936,0.936,0.841,0.936,0.936,0.899,0.841,0.936,0.899,0.936,0.936,0.841,0.936,0.936,0.936,0.936,0.841,0.936,0.936,0.936,0.936,0.936,0.841,0.936,0.936,0.841,0.841,0.841,0.841,0.841,0.841,0.936,0.936,0.841,0.936
29,29,0.907,0.907,0.907,0.907,0.906,0.849,0.907,0.907,0.907,0.907,0.907,0.858,0.907,0.907,0.907,0.907,0.670,0.907,0.907,0.664,0.907,0.907,0.907,0.857,0.907,0.907,0.907,0.907,0.756,0.907,0.907,0.563,0.882,0.907,0.907,0.907,0.907,0.832,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.384,0.907,0.907,0.907,0.907,0.907,0.907,0.756,0.849,0.907,0.849,0.907,0.756,0.907,0.907
30,30,0.425,0.425,0.425,0.425,0.021,0.772,0.425,0.425,0.042,0.039,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.041,0.358,0.425,0.021,0.021,0.136,0.425,0.425,0.425,0.039,0.021,0.021,0.021,0.425,0.425,0.035,0.425,0.425,0.035,0.425,0.425,0.425,0.425,0.021,0.425,0.425,0.021,0.036,0.021,0.425,0.021,0.425,0.021,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
31,31,0.937,0.937,0.937,0.937,0.937,0.415,0.937,0.937,0.937,0.937,0.937,0.824,0.928,0.937,0.937,0.928,0.825,0.937,0.937,0.787,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.522,0.937,0.937,0.937,0.937,0.937,0.819,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.795,0.795,0.937,0.810,0.937,0.810,0.937,0.937
32,32,0.793,0.207,0.210,0.793,0.155,0.712,0.793,0.793,0.215,0.212,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.133,0.793,0.209,0.168,0.052,0.793,0.793,0.793,0.210,0.702,0.209,0.168,0.793,0.793,0.793,0.793,0.793,0.793,0.702,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.054,0.793,0.793,0.793,0.077,0.100,0.793,0.793,0.227,0.793,0.793,0.793,0.793,0.793,0.793
33,33,0.870,0.870,0.870,0.870,0.788,0.790,0.870,0.870,0.870,0.870,0.870,0.165,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.687,0.870,0.870,0.774,0.870,0.790,0.870,0.870,0.870,0.684,0.774,0.870,0.363,0.870,0.870,0.870,0.870,0.870,0.774,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.684,0.870,0.870,0.870,0.870,0.870,0.870,0.684,0.870,0.870,0.790,0.870,0.684,0.870,0.870
34,34,0.615,0.263,0.203,0.615,0.269,0.650,0.485,0.615,0.263,0.203,0.263,0.615,0.209,0.615,0.615,0.452,0.615,0.615,0.615,0.382,0.615,0.187,0.110,0.167,0.030,0.615,0.615,0.203,0.189,0.110,0.167,0.030,0.378,0.615,0.615,0.615,0.615,0.026,0.615,0.615,0.615,0.128,0.615,0.615,0.316,0.110,0.418,0.615,0.316,0.143,0.143,0.494,0.378,0.100,0.615,0.030,0.615,0.615,0.027,0.615,0.615
35,35,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.421,0.667,0.921,0.921,0.667,0.921,0.921,0.921,0.667,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.773,0.921,0.921,0.921,0.921,0.921,0.667,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.667,0.921,0.921,0.667,0.921,0.921,0.921,0.667,0.921,0.921
36,36,0.048,0.004,0.109,0.048,0.093,0.048,0.295,0.048,0.004,0.136,0.004,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.430,0.048,0.034,0.034,0.079,0.048,0.048,0.110,0.046,0.029,0.127,0.079,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.034,0.170,0.048,0.170,0.127,0.079,0.034,0.079,0.170,0.093,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048
37,37,0.765,0.765,0.765,0.765,0.664,0.658,0.765,0.765,0.765,0.765,0.765,0.842,0.818,0.710,0.710,0.818,0.765,0.765,0.765,0.690,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.690,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.842,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.409,0.765,0.827,0.765,0.765,0.784,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.840,0.765
38,38,0.103,0.103,0.103,0.103,0.047,0.159,0.103,0.103,0.032,0.067,0.103,0.103,0.118,0.103,0.103,0.118,0.103,0.103,0.130,0.021,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.021,0.103,0.021,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.021,0.159,0.021,0.103,0.103,0.103,0.103,0.103,0.021,0.103,0.103,0.103,0.103,0.103,0.103
39,39,0.075,0.075,0.075,0.075,0.352,0.830,0.075,0.075,0.075,0.106,0.075,0.280,0.408,0.075,0.075,0.408,0.280,0.144,0.075,0.061,0.075,0.855,0.855,0.855,0.834,0.075,0.075,0.075,0.801,0.849,0.282,0.075,0.075,0.075,0.075,0.075,0.075,0.712,0.075,0.075,0.075,0.498,0.075,0.075,0.729,0.510,0.514,0.075,0.078,0.075,0.539,0.109,0.075,0.075,0.075,0.072,0.075,0.075,0.075,0.075,0.075
40,40,0.004,0.002,0.084,0.002,0.508,0.357,0.143,0.002,0.004,0.084,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.033,0.004,0.028,0.020,0.050,0.004,0.002,0.084,0.012,0.559,0.050,0.050,0.004,0.004,0.004,0.004,0.004,0.004,0.020,0.004,0.004,0.004,0.055,0.050,0.036,0.183,0.050,0.183,0.021,0.050,0.183,0.036,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
41,41,0.035,0.035,0.035,0.035,0.169,0.173,0.035,0.035,0.025,0.035,0.035,0.025,0.035,0.035,0.035,0.035,0.035,0.035,0.025,0.226,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.109,0.035,0.035,0.035,0.035,0.032,0.035,0.035,0.035,0.161,0.035,0.035,0.032,0.173,0.161,0.161,0.035,0.173,0.109,0.173,0.035,0.035,0.161,0.161,0.035,0.109,0.035,0.035,0.035,0.035,0.035,0.035,0.035
42,42,0.027,0.027,0.027,0.694,0.094,0.012,0.027,0.027,0.027,0.027,0.027,0.636,0.027,0.027,0.027,0.027,0.636,0.027,0.027,0.296,0.027,0.006,0.018,0.027,0.027,0.027,0.027,0.027,0.201,0.017,0.006,0.027,0.027,0.027,0.027,0.027,0.027,0.011,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.011,0.052,0.027,0.659,0.027,0.027,0.636,0.027,0.027,0.173,0.027,0.027,0.027,0.173,0.027,0.027
43,43,0.754,0.754,0.074,0.754,0.754,0.754,0.165,0.754,0.754,0.093,0.754,0.209,0.684,0.754,0.754,0.684,0.754,0.084,0.754,0.058,0.754,0.047,0.047,0.754,0.754,0.754,0.754,0.754,0.754,0.047,0.085,0.754,0.754,0.754,0.754,0.754,0.754,0.008,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.053,0.754,0.754,0.053,0.754,0.754,0.093,0.754,0.754,0.754,0.074,0.754,0.754
44,44,0.256,0.126,0.256,0.256,0.299,0.309,0.256,0.126,0.256,0.207,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.053,0.272,0.256,0.155,0.184,0.015,0.256,0.256,0.256,0.207,0.014,0.155,0.184,0.256,0.256,0.256,0.256,0.256,0.256,0.014,0.256,0.256,0.256,0.015,0.050,0.184,0.013,0.015,0.214,0.207,0.013,0.256,0.184,0.019,0.099,0.014,0.256,0.256,0.256,0.256,0.020,0.099,0.256
45,45,0.866,0.866,0.866,0.866,0.866,0.547,0.452,0.866,0.866,0.866,0.866,0.866,0.657,0.866,0.866,0.657,0.866,0.160,0.866,0.497,0.866,0.866,0.866,0.866,0.866,0.866,0.194,0.866,0.866,0.181,0.181,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.164,0.866,0.866,0.866,0.158,0.866,0.866,0.866,0.866,0.084,0.866,0.158,0.866,0.866,0.866,0.866,0.866,0.866,0.866
46,46,0.819,0.819,0.819,0.819,0.374,0.819,0.819,0.819,0.819,0.819,0.819,0.685,0.629,0.819,0.819,0.819,0.685,0.819,0.819,0.669,0.819,0.819,0.819,0.644,0.819,0.819,0.819,0.819,0.773,0.819,0.819,0.819,0.622,0.819,0.819,0.819,0.819,0.669,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.404,0.819,0.819,0.685,0.644,0.819,0.275,0.644,0.819,0.819,0.819,0.404,0.819
47,47,0.941,0.941,0.941,0.941,0.529,0.923,0.941,0.941,0.941,0.941,0.941,0.803,0.749,0.941,0.941,0.941,0.903,0.941,0.941,0.584,0.941,0.941,0.941,0.941,0.881,0.941,0.941,0.941,0.781,0.777,0.941,0.467,0.749,0.941,0.770,0.941,0.941,0.679,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.815,0.941,0.941,0.908,0.815,0.791,0.791,0.525,0.781,0.941,0.777,0.941,0.941
48,48,0.168,0.053,0.106,0.027,0.715,0.308,0.168,0.053,0.168,0.106,0.168,0.201,0.210,0.168,0.168,0.138,0.204,0.168,0.168,0.110,0.168,0.106,0.094,0.085,0.168,0.027,0.168,0.106,0.546,0.106,0.094,0.220,0.168,0.168,0.168,0.168,0.168,0.153,0.168,0.168,0.168,0.119,0.094,0.119,0.168,0.106,0.158,0.094,0.051,0.168,0.119,0.203,0.168,0.210,0.191,0.168,0.203,0.168,0.203,0.168,0.168
49,49,0.792,0.792,0.792,0.792,0.786,0.815,0.792,0.792,0.792,0.792,0.792,0.321,0.751,0.792,0.792,0.792,0.792,0.792,0.792,0.596,0.792,0.792,0.325,0.838,0.792,0.792,0.792,0.792,0.690,0.607,0.465,0.648,0.748,0.792,0.792,0.792,0.792,0.776,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.786,0.792,0.740,0.792,0.792,0.792,0.345,0.810,0.610,0.345,0.792,0.792,0.705,0.740,0.792
50,50,0.837,0.837,0.202,0.572,0.409,0.381,0.364,0.837,0.837,0.202,0.837,0.119,0.416,0.837,0.837,0.416,0.547,0.094,0.837,0.084,0.837,0.837,0.128,0.135,0.837,0.837,0.837,0.837,0.058,0.200,0.075,0.621,0.572,0.837,0.837,0.837,0.837,0.076,0.837,0.837,0.837,0.837,0.837,0.837,0.128,0.837,0.128,0.837,0.110,0.837,0.837,0.101,0.056,0.084,0.058,0.056,0.837,0.837,0.523,0.837,0.837
51,51,0.014,0.008,0.051,0.007,0.192,0.111,0.014,0.008,0.019,0.051,0.014,0.019,0.014,0.014,0.014,0.014,0.014,0.014,0.019,0.028,0.014,0.051,0.024,0.024,0.014,0.007,0.014,0.051,0.165,0.051,0.024,0.014,0.014,0.018,0.014,0.014,0.014,0.219,0.014,0.014,0.018,0.024,0.024,0.024,0.024,0.038,0.024,0.024,0.024,0.014,0.024,0.219,0.014,0.024,0.014,0.014,0.014,0.014,0.024,0.014,0.014
52,52,0.656,0.656,0.656,0.656,0.788,0.815,0.656,0.656,0.656,0.656,0.656,0.820,0.665,0.815,0.815,0.665,0.656,0.656,0.656,0.679,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.781,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.815,0.656,0.656,0.656,0.656,0.656,0.815,0.656,0.656,0.781,0.656,0.789,0.656,0.656,0.679,0.815,0.656,0.656,0.656,0.656,0.656,0.656,0.815,0.656
53,53,0.698,0.698,0.698,0.698,0.198,0.811,0.698,0.698,0.197,0.231,0.698,0.199,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.447,0.698,0.215,0.084,0.698,0.384,0.698,0.698,0.230,0.074,0.048,0.215,0.384,0.698,0.698,0.698,0.698,0.698,0.080,0.698,0.698,0.698,0.074,0.698,0.698,0.698,0.074,0.198,0.698,0.224,0.698,0.084,0.199,0.698,0.384,0.080,0.698,0.537,0.698,0.080,0.698,0.698
