,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59
10,10,0.955,0.955,0.955,0.955,0.955,0.955,0.505,0.955,0.955,0.955,0.955,0.681,0.877,0.363,0.955,0.363,0.955,0.955,0.265,0.816,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.446,0.955,0.955,0.955,0.955,0.345,0.804,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.818,0.957,0.955,0.818,0.955,0.955,0.957,0.955,0.955
11,11,0.917,0.917,0.917,0.917,0.917,0.917,0.142,0.917,0.917,0.917,0.917,0.917,0.851,0.917,0.917,0.917,0.917,0.142,0.917,0.558,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.957,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.102,0.957,0.917,0.917,0.755,0.917,0.917,0.917,0.917,0.917
12,12,0.974,0.974,0.974,0.974,0.974,0.974,0.971,0.974,0.974,0.974,0.974,0.733,0.920,0.974,0.974,0.974,0.974,0.974,0.974,0.587,0.974,0.974,0.974,0.974,0.974,0.992,0.974,0.974,0.974,0.974,0.974,0.846,0.979,0.974,0.974,0.974,0.974,0.733,0.974,0.974,0.974,0.974,0.974,0.974,0.992,0.974,0.974,0.974,0.974,0.974,0.974,0.261,0.873,0.747,0.974,0.870,0.974,0.974,0.974,0.974,0.974
13,13,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.881,0.975,0.975,0.975,0.975,0.975,0.975,0.795,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.795,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
14,14,0.179,0.179,0.179,0.179,0.179,0.165,0.203,0.179,0.179,0.179,0.179,0.786,0.179,0.179,0.179,0.179,0.786,0.179,0.179,0.580,0.179,0.179,0.179,0.179,0.165,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.629,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.709,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179
15,15,0.400,0.727,0.400,0.400,0.727,0.400,0.371,0.400,0.400,0.400,0.727,0.063,0.198,0.400,0.400,0.400,0.400,0.400,0.400,0.250,0.400,0.149,0.400,0.727,0.294,0.400,0.149,0.400,0.400,0.400,0.400,0.200,0.400,0.400,0.400,0.400,0.400,0.057,0.400,0.400,0.400,0.076,0.076,0.400,0.149,0.149,0.727,0.400,0.400,0.400,0.076,0.287,0.192,0.400,0.400,0.192,0.400,0.400,0.400,0.400,0.400
16,16,0.879,0.879,0.879,0.879,0.879,0.895,0.847,0.879,0.879,0.879,0.879,0.776,0.879,0.848,0.848,0.879,0.755,0.879,0.879,0.416,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.086,0.879,0.879,0.879,0.879,0.879,0.878,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.607,0.879,0.715,0.875,0.879,0.879,0.879,0.833,0.879,0.879
17,17,0.208,0.208,0.189,0.208,0.208,0.130,0.346,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.130,0.208,0.208,0.146,0.208,0.208,0.208,0.208,0.130,0.368,0.208,0.208,0.208,0.208,0.208,0.208,0.130,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208
18,18,0.197,0.197,0.197,0.197,0.197,0.687,0.850,0.197,0.197,0.197,0.197,0.063,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.422,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.038,0.197,0.197,0.197,0.197,0.197,0.173,0.197,0.197,0.197,0.158,0.186,0.168,0.322,0.158,0.911,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.035,0.197,0.038,0.197,0.197
19,19,0.910,0.910,0.910,0.910,0.910,0.910,0.581,0.910,0.910,0.910,0.910,0.752,0.910,0.889,0.910,0.889,0.787,0.910,0.303,0.724,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.213,0.910,0.910,0.910,0.910,0.910,0.796,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.392,0.617,0.910,0.910,0.617,0.910,0.910,0.824,0.910,0.910
20,20,0.369,0.369,0.369,0.592,0.369,0.745,0.590,0.369,0.369,0.369,0.369,0.497,0.369,0.369,0.369,0.369,0.497,0.369,0.369,0.441,0.369,0.369,0.369,0.369,0.767,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.421,0.369,0.369,0.369,0.369,0.664,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.473,0.249,0.625,0.683,0.369,0.473,0.090,0.421,0.369,0.369,0.369,0.369,0.369,0.533,0.369,0.369
21,21,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.510,0.705,0.705,0.705,0.705,0.807,0.705,0.705,0.567,0.705,0.705,0.705,0.705,0.705,0.705,0.102,0.705,0.705,0.705,0.705,0.707,0.705,0.705,0.705,0.705,0.705,0.729,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.073,0.705,0.705,0.705,0.705,0.330,0.705,0.705,0.380,0.711,0.705,0.705,0.230,0.705,0.705
22,22,0.911,0.911,0.911,0.911,0.911,0.916,0.911,0.911,0.911,0.911,0.911,0.911,0.883,0.911,0.911,0.911,0.911,0.911,0.911,0.649,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.168,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911
23,23,0.351,0.351,0.351,0.398,0.351,0.335,0.348,0.351,0.351,0.351,0.351,0.430,0.362,0.355,0.355,0.351,0.363,0.351,0.351,0.307,0.351,0.351,0.376,0.351,0.255,0.351,0.351,0.351,0.351,0.351,0.351,0.271,0.275,0.351,0.351,0.351,0.351,0.623,0.351,0.351,0.351,0.351,0.313,0.351,0.351,0.351,0.435,0.351,0.191,0.351,0.433,0.124,0.275,0.351,0.288,0.288,0.282,0.351,0.347,0.351,0.351
24,24,0.041,0.080,0.041,0.041,0.080,0.041,0.060,0.041,0.041,0.041,0.080,0.201,0.041,0.041,0.041,0.041,0.201,0.041,0.041,0.193,0.041,0.014,0.041,0.080,0.030,0.041,0.014,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.223,0.041,0.041,0.041,0.006,0.006,0.041,0.014,0.014,0.080,0.047,0.041,0.041,0.006,0.225,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041
25,25,0.382,0.052,0.382,0.382,0.382,0.265,0.398,0.052,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.189,0.382,0.382,0.382,0.382,0.115,0.382,0.052,0.382,0.382,0.286,0.438,0.382,0.342,0.382,0.382,0.382,0.382,0.218,0.382,0.382,0.382,0.184,0.116,0.382,0.382,0.161,0.073,0.382,0.382,0.382,0.382,0.382,0.382,0.221,0.198,0.118,0.382,0.382,0.260,0.382,0.382
26,26,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.601,0.884,0.986,0.986,0.986,0.986,0.986,0.986,0.809,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.872,0.986,0.986,0.986,0.986,0.986,0.601,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.910,0.857,0.986,0.986,0.857,0.986,0.986,0.986,0.986,0.986
27,27,0.211,0.211,0.211,0.211,0.211,0.172,0.573,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.219,0.211,0.211,0.311,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.219,0.211,0.211,0.211,0.211,0.079,0.211,0.211,0.211,0.211,0.211,0.413,0.265,0.211,0.413,0.211,0.211,0.211,0.211,0.211,0.219,0.211,0.211,0.219,0.211,0.211,0.211,0.211,0.211
28,28,0.936,0.936,0.936,0.957,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.902,0.936,0.936,0.936,0.936,0.957,0.936,0.936,0.793,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.202,0.982,0.936,0.936,0.936,0.936,0.902,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.841,0.936,0.874,0.841,0.936,0.936,0.936,0.957,0.936
29,29,0.907,0.907,0.907,0.907,0.907,0.907,0.822,0.907,0.907,0.907,0.907,0.301,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.960,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.563,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.846,0.907,0.907,0.907,0.142,0.907,0.907
30,30,0.425,0.425,0.425,0.425,0.425,0.425,0.358,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.039,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.331,0.425,0.425,0.425,0.425,0.145,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
31,31,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.508,0.927,0.937,0.937,0.937,0.937,0.937,0.937,0.879,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.211,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.935,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937
32,32,0.793,0.793,0.028,0.793,0.793,0.566,0.777,0.793,0.663,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.418,0.793,0.485,0.793,0.793,0.810,0.793,0.663,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.625,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.063,0.793,0.793,0.124,0.793,0.793,0.793,0.793,0.793,0.793
33,33,0.870,0.870,0.870,0.870,0.870,0.870,0.687,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.165,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.870,0.805,0.870,0.870,0.149,0.870,0.363,0.870,0.870
34,34,0.615,0.615,0.320,0.615,0.615,0.276,0.650,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.164,0.615,0.320,0.615,0.615,0.694,0.615,0.465,0.615,0.615,0.221,0.694,0.615,0.330,0.615,0.615,0.615,0.615,0.693,0.615,0.615,0.615,0.615,0.331,0.615,0.615,0.615,0.465,0.667,0.331,0.615,0.615,0.412,0.615,0.222,0.615,0.330,0.615,0.615,0.615,0.615,0.615
35,35,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.775,0.921,0.921,0.921,0.921,0.921,0.921,0.775,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.421,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.838,0.921,0.921,0.421,0.921,0.921,0.921,0.566,0.921,0.921
36,36,0.048,0.004,0.048,0.048,0.048,0.048,0.430,0.004,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.244,0.720,0.004,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.004,0.004,0.720,0.295,0.004,0.004,0.295,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048
37,37,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.845,0.445,0.765,0.765,0.765,0.765,0.765,0.765,0.862,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.921,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765
38,38,0.103,0.103,0.103,0.103,0.103,0.103,0.061,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.130,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.069,0.103,0.103,0.103,0.103,0.103,0.103
39,39,0.075,0.075,0.075,0.075,0.075,0.511,0.738,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.785,0.075,0.373,0.075,0.075,0.373,0.075,0.075,0.075,0.075,0.373,0.373,0.075,0.075,0.075,0.075,0.075,0.075,0.302,0.075,0.075,0.075,0.075,0.237,0.372,0.075,0.075,0.372,0.289,0.075,0.075,0.075,0.152,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
40,40,0.004,0.036,0.003,0.004,0.036,0.005,0.056,0.004,0.004,0.004,0.036,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.004,0.036,0.143,0.277,0.002,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.002,0.002,0.277,0.043,0.002,0.003,0.143,0.004,0.004,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
41,41,0.035,0.035,0.035,0.035,0.035,0.035,0.226,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.025,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
42,42,0.027,0.027,0.027,0.027,0.027,0.027,0.127,0.027,0.027,0.027,0.027,0.706,0.027,0.027,0.027,0.027,0.706,0.027,0.027,0.699,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.022,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.393,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.607,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
43,43,0.754,0.754,0.848,0.754,0.754,0.754,0.110,0.754,0.754,0.754,0.754,0.754,0.715,0.754,0.754,0.754,0.754,0.110,0.754,0.505,0.754,0.009,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.062,0.754,0.754,0.009,0.754,0.754,0.754,0.754,0.754,0.754
44,44,0.256,0.256,0.256,0.256,0.256,0.256,0.457,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.011,0.357,0.256,0.093,0.256,0.256,0.282,0.256,0.126,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.038,0.256,0.256,0.256,0.093,0.256,0.256,0.032,0.256,0.014,0.325,0.256,0.256,0.256,0.046,0.032,0.016,0.256,0.256,0.256,0.256,0.256,0.020,0.256
45,45,0.866,0.866,0.866,0.866,0.866,0.875,0.866,0.866,0.866,0.866,0.866,0.866,0.880,0.866,0.866,0.866,0.866,0.866,0.866,0.462,0.866,0.866,0.866,0.866,0.866,0.992,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.992,0.866,0.866,0.866,0.866,0.866,0.866,0.084,0.866,0.452,0.866,0.866,0.866,0.866,0.866,0.866,0.866
46,46,0.819,0.819,0.819,0.819,0.819,0.819,0.422,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.527,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.776,0.819,0.819,0.819,0.819,0.391,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.650,0.776,0.819,0.819,0.776,0.819,0.819,0.819,0.819,0.819
47,47,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.460,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.597,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.199,0.941,0.941,0.941,0.941,0.941,0.807,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.946,0.749,0.335,0.143,0.878,0.941,0.941,0.813,0.941,0.941
48,48,0.168,0.455,0.168,0.168,0.455,0.168,0.151,0.168,0.168,0.168,0.455,0.058,0.361,0.168,0.168,0.168,0.168,0.168,0.168,0.263,0.168,0.053,0.168,0.455,0.206,0.168,0.053,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.054,0.168,0.168,0.168,0.027,0.027,0.168,0.053,0.053,0.455,0.168,0.168,0.168,0.027,0.352,0.168,0.168,0.058,0.168,0.168,0.168,0.168,0.168,0.168
49,49,0.792,0.792,0.792,0.792,0.792,0.792,0.267,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.852,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.852,0.792,0.792,0.792,0.792,0.352,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.852,0.648,0.792,0.852,0.792,0.792,0.352,0.792,0.792
50,50,0.837,0.837,0.837,0.837,0.837,0.837,0.160,0.837,0.837,0.837,0.837,0.856,0.601,0.837,0.837,0.837,0.856,0.837,0.837,0.518,0.837,0.837,0.837,0.837,0.707,0.837,0.837,0.837,0.837,0.837,0.654,0.837,0.801,0.837,0.837,0.837,0.837,0.615,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.073,0.801,0.837,0.363,0.801,0.837,0.837,0.147,0.837,0.837
51,51,0.014,0.069,0.014,0.014,0.069,0.014,0.046,0.014,0.014,0.014,0.069,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.008,0.014,0.069,0.007,0.014,0.008,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.007,0.007,0.014,0.006,0.008,0.069,0.254,0.019,0.014,0.040,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
52,52,0.656,0.656,0.656,0.656,0.656,0.656,0.677,0.656,0.656,0.656,0.656,0.822,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.195,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.822,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.338,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656
53,53,0.698,0.698,0.698,0.698,0.698,0.698,0.676,0.698,0.698,0.698,0.698,0.233,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.700,0.698,0.315,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.395,0.698,0.698,0.698,0.698,0.698,0.252,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.700,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698
