,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31
22,22,0.609,0.409,0.609,0.645,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.663,0.645,0.609,0.609,0.663,0.609,0.609,0.609,0.609,0.642,0.635,0.609,0.609,0.633,0.609,0.645,0.609,0.634,0.609,0.609
23,23,0.211,0.317,0.211,0.502,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.566,0.264,0.480,0.211,0.628,0.211,0.211,0.211,0.211,0.211,0.376,0.211,0.343,0.611,0.390,0.211,0.362,0.211,0.250,0.211
24,24,0.536,0.536,0.536,0.659,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.604,0.664,0.536,0.585,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.509,0.536,0.568,0.536,0.536,0.536
25,25,0.258,0.258,0.258,0.636,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.628,0.646,0.258,0.646,0.258,0.258,0.258,0.258,0.370,0.258,0.210,0.135,0.258,0.251,0.324,0.259,0.258,0.403,0.258
26,26,0.702,0.702,0.702,0.670,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.670,0.702,0.702,0.702,0.702,0.670,0.670,0.702,0.702,0.702,0.702,0.702,0.702,0.670,0.702,0.702
27,27,0.572,0.572,0.572,0.592,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.608,0.656,0.572,0.608,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.608,0.572,0.572,0.572,0.572,0.572
28,28,0.226,0.226,0.226,0.154,0.226,0.124,0.226,0.118,0.226,0.226,0.121,0.198,0.226,0.226,0.154,0.133,0.226,0.160,0.226,0.226,0.196,0.196,0.160,0.226,0.115,0.127,0.226,0.226,0.137,0.106,0.226,0.226,0.226
29,29,0.392,0.326,0.392,0.664,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.215,0.488,0.392,0.392,0.664,0.392,0.392,0.392,0.392,0.664,0.215,0.488,0.392,0.215,0.392,0.410,0.392,0.215,0.488,0.392
30,30,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748
31,31,0.453,0.453,0.453,0.654,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.661,0.453,0.499,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.453,0.496,0.453,0.453,0.453
32,32,0.387,0.387,0.387,0.661,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.668,0.407,0.387,0.668,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.314,0.387,0.668,0.387,0.387,0.387
33,33,0.210,0.204,0.210,0.464,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.210,0.261,0.259,0.316,0.210,0.577,0.210,0.210,0.210,0.210,0.210,0.320,0.210,0.210,0.201,0.202,0.210,0.250,0.210,0.210,0.210
34,34,0.429,0.244,0.429,0.625,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.240,0.625,0.429,0.429,0.655,0.429,0.429,0.429,0.429,0.607,0.365,0.373,0.429,0.283,0.429,0.429,0.429,0.373,0.373,0.429
35,35,0.246,0.182,0.246,0.657,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.200,0.560,0.611,0.246,0.657,0.246,0.246,0.246,0.246,0.270,0.299,0.246,0.165,0.246,0.180,0.349,0.189,0.299,0.308,0.246
36,36,0.393,0.393,0.393,0.644,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.368,0.343,0.393,0.646,0.393,0.393,0.393,0.393,0.393,0.264,0.393,0.393,0.393,0.393,0.393,0.627,0.393,0.393,0.393
37,37,0.251,0.314,0.251,0.339,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.587,0.343,0.600,0.251,0.626,0.251,0.251,0.251,0.251,0.251,0.276,0.408,0.265,0.598,0.323,0.251,0.251,0.404,0.598,0.251
38,38,0.766,0.793,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.793,0.766,0.766,0.766,0.793,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766
39,39,0.189,0.138,0.189,0.618,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.641,0.266,0.219,0.189,0.644,0.189,0.189,0.189,0.189,0.521,0.644,0.287,0.189,0.473,0.189,0.248,0.189,0.371,0.189,0.189
40,40,0.311,0.217,0.311,0.657,0.311,0.311,0.311,0.311,0.311,0.311,0.311,0.311,0.311,0.360,0.311,0.642,0.311,0.660,0.311,0.311,0.311,0.311,0.374,0.489,0.311,0.311,0.342,0.311,0.278,0.472,0.374,0.311,0.311
41,41,0.232,0.232,0.232,0.589,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.152,0.268,0.363,0.232,0.494,0.232,0.232,0.232,0.232,0.584,0.174,0.411,0.159,0.232,0.232,0.179,0.232,0.170,0.157,0.232
42,42,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.672,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758
43,43,0.179,0.179,0.179,0.646,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.138,0.228,0.197,0.179,0.381,0.179,0.179,0.179,0.179,0.253,0.138,0.142,0.189,0.138,0.179,0.171,0.179,0.190,0.137,0.179
44,44,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824
45,45,0.184,0.152,0.184,0.644,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.652,0.219,0.184,0.652,0.184,0.184,0.184,0.184,0.191,0.184,0.652,0.171,0.184,0.148,0.163,0.141,0.184,0.652,0.184
46,46,0.457,0.443,0.457,0.664,0.457,0.457,0.457,0.457,0.457,0.457,0.457,0.457,0.457,0.305,0.387,0.457,0.457,0.664,0.457,0.457,0.457,0.457,0.664,0.305,0.344,0.457,0.284,0.457,0.457,0.457,0.305,0.344,0.457
47,47,0.384,0.384,0.384,0.384,0.384,0.350,0.168,0.320,0.384,0.384,0.311,0.374,0.384,0.192,0.219,0.384,0.260,0.384,0.302,0.384,0.153,0.148,0.384,0.384,0.384,0.384,0.193,0.200,0.384,0.319,0.384,0.384,0.384
48,48,0.164,0.142,0.164,0.529,0.164,0.164,0.164,0.164,0.164,0.164,0.164,0.164,0.164,0.310,0.188,0.620,0.164,0.519,0.164,0.164,0.164,0.164,0.248,0.280,0.164,0.199,0.269,0.164,0.164,0.164,0.259,0.249,0.164
49,49,0.139,0.117,0.139,0.539,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.228,0.353,0.164,0.139,0.637,0.139,0.139,0.139,0.139,0.282,0.206,0.189,0.175,0.167,0.139,0.140,0.164,0.169,0.232,0.139
50,50,0.284,0.274,0.284,0.654,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.153,0.213,0.299,0.284,0.654,0.284,0.284,0.284,0.284,0.654,0.122,0.296,0.284,0.174,0.284,0.307,0.284,0.182,0.296,0.284
51,51,0.204,0.188,0.204,0.483,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.240,0.204,0.395,0.204,0.451,0.204,0.204,0.204,0.204,0.439,0.483,0.204,0.204,0.240,0.204,0.204,0.204,0.483,0.204,0.204
52,52,0.204,0.169,0.204,0.585,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.409,0.333,0.382,0.204,0.342,0.204,0.204,0.204,0.204,0.204,0.401,0.204,0.381,0.222,0.204,0.204,0.204,0.268,0.204,0.204
53,53,0.794,0.525,0.794,0.794,0.794,0.794,0.794,0.794,0.519,0.794,0.534,0.794,0.794,0.539,0.794,0.794,0.794,0.519,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794
54,54,0.219,0.193,0.219,0.653,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.130,0.273,0.304,0.219,0.653,0.219,0.219,0.219,0.219,0.653,0.135,0.239,0.309,0.130,0.219,0.204,0.219,0.139,0.302,0.219
55,55,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751
56,56,0.671,0.671,0.671,0.567,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.662,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671
57,57,0.381,0.381,0.381,0.533,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.250,0.256,0.381,0.250,0.381,0.381,0.381,0.381,0.343,0.381,0.309,0.430,0.381,0.381,0.381,0.381,0.381,0.254,0.381
58,58,0.294,0.294,0.294,0.641,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.648,0.228,0.294,0.648,0.294,0.294,0.294,0.294,0.260,0.294,0.262,0.149,0.294,0.181,0.294,0.186,0.294,0.352,0.294
59,59,0.230,0.230,0.230,0.642,0.230,0.230,0.230,0.230,0.230,0.230,0.230,0.230,0.230,0.230,0.513,0.395,0.230,0.647,0.230,0.230,0.230,0.230,0.168,0.135,0.132,0.176,0.230,0.161,0.135,0.159,0.230,0.203,0.230
60,60,0.356,0.400,0.356,0.482,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.393,0.356,0.641,0.356,0.400,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.414,0.399,0.356,0.356,0.356,0.356,0.356,0.356
61,61,0.699,0.699,0.699,0.671,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.671,0.699,0.699,0.699,0.699,0.671,0.671,0.699,0.699,0.699,0.699,0.699,0.699,0.671,0.699,0.699
62,62,0.817,0.823,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.823,0.817,0.817,0.817,0.823,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817
63,63,0.517,0.494,0.517,0.668,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.668,0.517,0.517,0.517,0.668,0.517,0.517,0.517,0.517,0.668,0.668,0.517,0.517,0.436,0.517,0.517,0.517,0.668,0.517,0.517
64,64,0.454,0.454,0.454,0.409,0.454,0.454,0.454,0.454,0.454,0.454,0.454,0.454,0.454,0.454,0.409,0.196,0.454,0.409,0.454,0.454,0.454,0.454,0.454,0.454,0.402,0.556,0.454,0.454,0.454,0.454,0.454,0.454,0.454
65,65,0.491,0.491,0.491,0.668,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.668,0.491,0.491,0.668,0.491,0.491,0.491,0.491,0.668,0.491,0.309,0.491,0.491,0.491,0.491,0.491,0.491,0.235,0.491
66,66,0.090,0.089,0.090,0.583,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.099,0.105,0.189,0.090,0.606,0.090,0.090,0.090,0.090,0.389,0.097,0.092,0.115,0.109,0.105,0.087,0.142,0.136,0.113,0.090
67,67,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.396,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.504,0.687,0.396,0.687,0.687,0.687
68,68,0.145,0.122,0.145,0.484,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.150,0.207,0.281,0.145,0.561,0.145,0.145,0.145,0.145,0.188,0.217,0.139,0.148,0.133,0.142,0.160,0.150,0.156,0.179,0.145
69,69,0.804,0.818,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.818,0.804,0.804,0.804,0.818,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804
70,70,0.811,0.823,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.823,0.811,0.811,0.811,0.823,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811
71,71,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748
72,72,0.811,0.823,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.823,0.811,0.811,0.811,0.823,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811
73,73,0.328,0.328,0.328,0.660,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.304,0.660,0.328,0.660,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.487,0.328,0.224,0.328,0.230,0.328
74,74,0.796,0.818,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.818,0.796,0.796,0.796,0.818,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796
75,75,0.329,0.329,0.329,0.570,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.233,0.369,0.329,0.392,0.329,0.329,0.329,0.329,0.329,0.329,0.392,0.239,0.329,0.329,0.329,0.329,0.329,0.233,0.329
76,76,0.095,0.085,0.095,0.088,0.095,0.096,0.095,0.095,0.085,0.095,0.164,0.095,0.095,0.094,0.100,0.115,0.095,0.105,0.095,0.095,0.095,0.095,0.095,0.145,0.082,0.131,0.202,0.084,0.114,0.086,0.113,0.095,0.095
77,77,0.573,0.573,0.573,0.665,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.385,0.665,0.573,0.385,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.665,0.573,0.573,0.573,0.573,0.573,0.488,0.573
78,78,0.165,0.146,0.165,0.425,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.173,0.207,0.270,0.165,0.545,0.165,0.165,0.165,0.165,0.362,0.154,0.167,0.165,0.170,0.191,0.168,0.165,0.170,0.206,0.165
79,79,0.360,0.360,0.360,0.391,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.360,0.378,0.659,0.360,0.378,0.360,0.360,0.360,0.360,0.187,0.360,0.531,0.202,0.360,0.360,0.187,0.360,0.360,0.539,0.360
80,80,0.280,0.277,0.280,0.510,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.285,0.430,0.622,0.280,0.503,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.285,0.280,0.280,0.333,0.280,0.280,0.280
81,81,0.729,0.729,0.729,0.606,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.605,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729
82,82,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.552,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703
83,83,0.355,0.355,0.355,0.485,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.531,0.657,0.355,0.388,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.218,0.355,0.355,0.355,0.432,0.355,0.373,0.355
84,84,0.204,0.166,0.204,0.572,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.238,0.505,0.196,0.204,0.510,0.204,0.204,0.204,0.204,0.467,0.144,0.171,0.204,0.169,0.204,0.173,0.204,0.239,0.166,0.204
85,85,0.506,0.397,0.506,0.619,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.649,0.619,0.506,0.506,0.649,0.506,0.506,0.506,0.506,0.604,0.462,0.506,0.506,0.631,0.506,0.624,0.506,0.622,0.506,0.506
86,86,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769
87,87,0.443,0.443,0.443,0.338,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.473,0.496,0.443,0.474,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.362,0.443,0.443,0.443,0.443,0.443
88,88,0.364,0.364,0.364,0.664,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.403,0.306,0.364,0.364,0.664,0.364,0.364,0.364,0.364,0.585,0.403,0.364,0.364,0.364,0.364,0.364,0.306,0.403,0.364,0.364
89,89,0.370,0.311,0.222,0.624,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.371,0.327,0.370,0.627,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.329,0.428,0.370,0.370,0.370
90,90,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.340,0.460,0.542,0.257,0.542,0.542,0.542,0.542,0.542,0.332,0.211,0.264,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.353,0.542,0.542,0.542
91,91,0.541,0.541,0.541,0.533,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.485,0.541,0.536,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.517,0.536,0.541,0.541,0.541
92,92,0.376,0.429,0.376,0.525,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.418,0.376,0.633,0.376,0.401,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.328,0.376,0.376,0.376,0.423,0.376,0.376
93,93,0.269,0.215,0.269,0.661,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.343,0.302,0.262,0.269,0.309,0.269,0.269,0.269,0.269,0.296,0.269,0.319,0.258,0.292,0.269,0.342,0.269,0.320,0.269,0.269
94,94,0.806,0.822,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.822,0.806,0.806,0.806,0.822,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806
95,95,0.169,0.169,0.169,0.569,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.128,0.191,0.328,0.169,0.363,0.169,0.169,0.169,0.169,0.181,0.128,0.138,0.161,0.127,0.153,0.169,0.139,0.127,0.124,0.169
96,96,0.203,0.145,0.150,0.640,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.145,0.611,0.634,0.203,0.646,0.203,0.203,0.203,0.203,0.275,0.157,0.203,0.373,0.143,0.189,0.225,0.192,0.157,0.332,0.203
97,97,0.204,0.193,0.204,0.646,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.306,0.265,0.340,0.204,0.649,0.204,0.204,0.204,0.204,0.305,0.420,0.204,0.204,0.210,0.355,0.204,0.190,0.305,0.204,0.204
98,98,0.507,0.507,0.507,0.553,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.441,0.292,0.507,0.441,0.507,0.507,0.507,0.507,0.507,0.507,0.507,0.570,0.507,0.507,0.507,0.507,0.507,0.507,0.507
99,99,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.522,0.494,0.474,0.474,0.474,0.474,0.523,0.474,0.436,0.474,0.528,0.528,0.474,0.474,0.474,0.451,0.474,0.466,0.474,0.528,0.474,0.445,0.474
100,100,0.089,0.082,0.117,0.461,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.237,0.177,0.483,0.089,0.569,0.089,0.089,0.089,0.089,0.266,0.205,0.113,0.134,0.143,0.141,0.078,0.204,0.308,0.103,0.089
