,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36
12,12,0.974,0.731,0.975,0.974,0.731,0.974,0.975,0.975,0.974,0.974,0.974,0.723,0.975,0.974,0.852,0.972,0.974,0.731,0.974,0.852,0.974,0.995,0.974,0.974,0.974,0.974,0.852,0.931,0.922,0.974,0.809,0.922,0.974,0.974,0.974,0.995,0.974,0.922
13,13,0.975,0.975,0.976,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
14,14,0.179,0.602,0.166,0.570,0.602,0.179,0.118,0.535,0.179,0.179,0.179,0.179,0.535,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.166,0.179,0.747,0.179,0.102,0.179,0.179,0.179,0.179,0.179,0.849,0.066,0.179
15,15,0.400,0.213,0.405,0.338,0.213,0.400,0.176,0.359,0.164,0.808,0.164,0.400,0.359,0.400,0.494,0.504,0.400,0.213,0.400,0.494,0.643,0.400,0.643,0.400,0.400,0.278,0.494,0.357,0.236,0.400,0.213,0.125,0.144,0.164,0.643,0.587,0.400,0.125
16,16,0.879,0.069,0.868,0.975,0.069,0.869,0.321,0.835,0.879,0.879,0.879,0.879,0.835,0.879,0.090,0.879,0.879,0.090,0.879,0.090,0.879,0.879,0.879,0.879,0.879,0.856,0.090,0.955,0.879,0.206,0.879,0.090,0.879,0.879,0.879,0.879,0.190,0.090
17,17,0.208,0.208,0.320,0.208,0.208,0.208,0.208,0.048,0.208,0.192,0.208,0.240,0.048,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.042,0.208,0.208,0.208,0.208,0.208,0.864,0.208,0.208,0.208,0.338,0.208,0.864
18,18,0.197,0.063,0.170,0.197,0.063,0.197,0.197,0.167,0.197,0.197,0.197,0.197,0.167,0.197,0.060,0.197,0.197,0.060,0.197,0.182,0.197,0.197,0.197,0.197,0.178,0.160,0.182,0.197,0.060,0.060,0.197,0.169,0.210,0.177,0.140,0.197,0.128,0.169
19,19,0.910,0.474,0.964,0.963,0.474,0.910,0.669,0.880,0.910,0.910,0.910,0.910,0.880,0.411,0.472,0.144,0.910,0.535,0.910,0.472,0.910,0.910,0.910,0.411,0.910,0.910,0.472,0.798,0.472,0.866,0.910,0.472,0.910,0.355,0.910,0.959,0.866,0.472
20,20,0.369,0.436,0.387,0.436,0.436,0.386,0.494,0.296,0.369,0.369,0.369,0.369,0.296,0.369,0.369,0.450,0.369,0.369,0.369,0.331,0.369,0.369,0.603,0.369,0.418,0.316,0.331,0.712,0.592,0.162,0.603,0.294,0.185,0.311,0.185,0.650,0.404,0.294
21,21,0.705,0.329,0.747,0.479,0.329,0.705,0.829,0.582,0.067,0.455,0.705,0.705,0.582,0.705,0.176,0.893,0.705,0.542,0.705,0.526,0.134,0.705,0.705,0.705,0.567,0.786,0.526,0.882,0.829,0.348,0.542,0.625,0.705,0.705,0.043,0.705,0.265,0.625
22,22,0.911,0.719,0.919,0.911,0.719,0.911,0.909,0.884,0.911,0.911,0.911,0.911,0.884,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.913,0.911,0.719,0.911,0.911,0.911,0.911,0.911,0.982,0.911,0.911
23,23,0.351,0.340,0.351,0.392,0.323,0.369,0.362,0.345,0.351,0.351,0.351,0.351,0.345,0.351,0.334,0.235,0.351,0.334,0.351,0.334,0.351,0.351,0.274,0.351,0.354,0.312,0.334,0.363,0.282,0.340,0.235,0.280,0.351,0.351,0.328,0.391,0.337,0.280
24,24,0.041,0.103,0.029,0.103,0.103,0.041,0.041,0.148,0.047,0.198,0.047,0.041,0.148,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.016,0.041,0.016,0.041,0.041,0.031,0.041,0.149,0.041,0.243,0.041,0.047,0.047,0.047,0.016,0.100,0.017,0.047
25,25,0.382,0.265,0.183,0.382,0.265,0.382,0.283,0.222,0.549,0.409,0.382,0.432,0.222,0.382,0.491,0.246,0.382,0.382,0.382,0.292,0.183,0.382,0.382,0.446,0.382,0.308,0.292,0.382,0.446,0.365,0.382,0.189,0.161,0.269,0.183,0.247,0.382,0.189
26,26,0.986,0.905,0.986,0.986,0.905,0.986,0.986,0.984,0.986,0.986,0.986,0.986,0.984,0.986,0.871,0.973,0.986,0.905,0.986,0.871,0.986,0.986,0.986,0.986,0.986,0.986,0.871,0.986,0.971,0.986,0.692,0.971,0.986,0.986,0.986,0.986,0.986,0.971
27,27,0.211,0.211,0.333,0.211,0.211,0.211,0.211,0.163,0.211,0.211,0.211,0.211,0.163,0.211,0.211,0.246,0.211,0.211,0.211,0.372,0.211,0.211,0.211,0.211,0.372,0.147,0.372,0.211,0.246,0.211,0.211,0.246,0.211,0.211,0.211,0.090,0.211,0.246
28,28,0.936,0.862,0.975,0.979,0.862,0.936,0.859,0.862,0.936,0.936,0.936,0.936,0.862,0.936,0.361,0.921,0.936,0.357,0.936,0.361,0.936,0.936,0.981,0.936,0.936,0.936,0.361,0.307,0.896,0.307,0.921,0.896,0.936,0.307,0.936,0.969,0.936,0.896
29,29,0.907,0.488,0.908,0.540,0.488,0.907,0.907,0.946,0.907,0.907,0.907,0.907,0.946,0.907,0.386,0.946,0.907,0.386,0.907,0.557,0.907,0.907,0.907,0.907,0.907,0.551,0.557,0.907,0.557,0.561,0.907,0.557,0.907,0.907,0.907,0.907,0.907,0.557
30,30,0.425,0.425,0.404,0.425,0.425,0.425,0.014,0.609,0.425,0.425,0.425,0.425,0.609,0.140,0.425,0.425,0.425,0.425,0.425,0.425,0.037,0.425,0.425,0.140,0.425,0.497,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.583,0.425,0.497,0.425,0.425
31,31,0.937,0.197,0.937,0.810,0.197,0.937,0.934,0.939,0.937,0.937,0.937,0.937,0.939,0.937,0.197,0.937,0.937,0.197,0.937,0.197,0.937,0.937,0.937,0.937,0.937,0.937,0.197,0.937,0.197,0.197,0.937,0.197,0.937,0.937,0.937,0.937,0.937,0.197
32,32,0.793,0.793,0.293,0.793,0.793,0.793,0.793,0.293,0.031,0.396,0.793,0.793,0.293,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.087,0.793,0.793,0.793,0.793,0.840,0.793,0.769,0.021,0.793,0.793,0.110,0.793,0.793,0.793,0.618,0.021,0.110
33,33,0.870,0.115,0.866,0.870,0.115,0.870,0.870,0.925,0.870,0.870,0.870,0.870,0.925,0.870,0.115,0.870,0.870,0.115,0.870,0.109,0.870,0.870,0.870,0.870,0.870,0.870,0.109,0.870,0.870,0.560,0.870,0.115,0.870,0.870,0.870,0.870,0.403,0.115
34,34,0.615,0.615,0.579,0.615,0.615,0.615,0.621,0.644,0.085,0.297,0.615,0.682,0.644,0.615,0.226,0.403,0.615,0.226,0.615,0.226,0.615,0.615,0.615,0.615,0.226,0.598,0.226,0.620,0.436,0.539,0.615,0.163,0.226,0.615,0.892,0.650,0.384,0.163
35,35,0.921,0.722,0.935,0.921,0.722,0.921,0.935,0.942,0.921,0.921,0.921,0.921,0.942,0.921,0.722,0.921,0.921,0.722,0.921,0.722,0.921,0.921,0.921,0.921,0.921,0.921,0.722,0.977,0.921,0.722,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921
36,36,0.048,0.048,0.064,0.048,0.048,0.048,0.048,0.064,0.004,0.136,0.048,0.665,0.064,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.003,0.353,0.048,0.048,0.048,0.104,0.048,0.048,0.048,0.048,0.048,0.003,0.003,0.665,0.003,0.560,0.665,0.003
37,37,0.765,0.979,0.740,0.765,0.975,0.906,0.738,0.821,0.765,0.765,0.765,0.765,0.821,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.904,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.975,0.765,0.765
38,38,0.103,0.103,0.103,0.103,0.103,0.103,0.098,0.673,0.103,0.103,0.103,0.103,0.673,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.098,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.098,0.103,0.103,0.103,0.120,0.103,0.098
39,39,0.075,0.071,0.313,0.071,0.071,0.075,0.233,0.154,0.075,0.075,0.075,0.075,0.154,0.075,0.075,0.075,0.075,0.075,0.075,0.197,0.075,0.075,0.075,0.075,0.197,0.289,0.197,0.026,0.075,0.075,0.075,0.197,0.253,0.111,0.197,0.083,0.108,0.197
40,40,0.004,0.004,0.002,0.004,0.004,0.004,0.004,0.002,0.003,0.003,0.003,0.059,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.039,0.008,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.197,0.003,0.130,0.251,0.003
41,41,0.035,0.152,0.030,0.035,0.152,0.035,0.018,0.031,0.035,0.035,0.035,0.035,0.031,0.013,0.035,0.035,0.035,0.035,0.035,0.023,0.035,0.035,0.035,0.013,0.035,0.035,0.023,0.152,0.035,0.152,0.035,0.023,0.023,0.152,0.023,0.023,0.035,0.023
42,42,0.027,0.260,0.027,0.260,0.260,0.027,0.027,0.241,0.027,0.027,0.027,0.027,0.241,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.254,0.027,0.126,0.027,0.159,0.027,0.027,0.027,0.027,0.027,0.185,0.027,0.027
43,43,0.754,0.504,0.776,0.754,0.504,0.754,0.777,0.767,0.754,0.811,0.754,0.923,0.767,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.696,0.754,0.749,0.754,0.754,0.754,0.754,0.754,0.039,0.754,0.754
44,44,0.256,0.256,0.349,0.256,0.048,0.256,0.256,0.329,0.126,0.256,0.126,0.256,0.329,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.073,0.256,0.256,0.256,0.256,0.315,0.256,0.084,0.256,0.212,0.256,0.162,0.115,0.256,0.162,0.162,0.256,0.162
45,45,0.866,0.866,0.885,0.866,0.866,0.866,0.879,0.881,0.866,0.866,0.866,0.946,0.881,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.940,0.866,0.866,0.866,0.866,0.866,0.436,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.946,0.866,0.866
46,46,0.819,0.703,0.892,0.703,0.703,0.819,0.889,0.831,0.819,0.819,0.819,0.819,0.831,0.819,0.819,0.889,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.830,0.819,0.879,0.889,0.819,0.819,0.889,0.819,0.819,0.819,0.607,0.819,0.889
47,47,0.941,0.467,0.737,0.771,0.467,0.941,0.886,0.959,0.941,0.941,0.941,0.941,0.959,0.941,0.187,0.886,0.941,0.234,0.941,0.137,0.941,0.941,0.941,0.941,0.941,0.941,0.137,0.973,0.187,0.819,0.941,0.218,0.941,0.941,0.941,0.467,0.733,0.218
48,48,0.168,0.170,0.195,0.138,0.170,0.168,0.565,0.206,0.369,0.587,0.369,0.168,0.206,0.168,0.043,0.168,0.168,0.043,0.168,0.043,0.369,0.168,0.052,0.168,0.168,0.124,0.043,0.474,0.377,0.377,0.168,0.369,0.369,0.369,0.369,0.587,0.377,0.369
49,49,0.792,0.218,0.492,0.792,0.218,0.792,0.904,0.922,0.792,0.792,0.792,0.792,0.922,0.792,0.218,0.904,0.792,0.218,0.792,0.218,0.792,0.792,0.792,0.792,0.792,0.409,0.218,0.792,0.904,0.643,0.792,0.904,0.792,0.792,0.792,0.536,0.792,0.904
50,50,0.837,0.857,0.835,0.873,0.857,0.837,0.874,0.727,0.837,0.872,0.837,0.849,0.727,0.837,0.350,0.797,0.470,0.350,0.837,0.350,0.837,0.837,0.837,0.837,0.837,0.862,0.350,0.838,0.796,0.579,0.797,0.796,0.837,0.837,0.837,0.395,0.837,0.796
51,51,0.014,0.026,0.012,0.014,0.026,0.014,0.014,0.018,0.055,0.056,0.055,0.014,0.018,0.015,0.014,0.014,0.014,0.014,0.014,0.015,0.008,0.014,0.008,0.015,0.014,0.008,0.015,0.009,0.014,0.026,0.014,0.055,0.055,0.055,0.055,0.055,0.014,0.055
52,52,0.656,0.840,0.662,0.656,0.840,0.919,0.843,0.773,0.656,0.656,0.656,0.656,0.773,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.844,0.656,0.656,0.656,0.840,0.656,0.656,0.656,0.759,0.656,0.840
53,53,0.698,0.106,0.811,0.698,0.106,0.698,0.698,0.311,0.698,0.698,0.698,0.698,0.311,0.698,0.332,0.698,0.698,0.332,0.698,0.332,0.041,0.698,0.698,0.698,0.698,0.698,0.332,0.877,0.698,0.068,0.698,0.203,0.698,0.698,0.698,0.918,0.698,0.203
54,54,0.331,0.906,0.338,0.906,0.906,0.331,0.335,0.515,0.331,0.331,0.331,0.331,0.515,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.754,0.331,0.337,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.864,0.331,0.331
55,55,0.851,0.109,0.879,0.508,0.109,0.851,0.851,0.893,0.851,0.851,0.851,0.851,0.893,0.851,0.109,0.851,0.851,0.109,0.851,0.044,0.851,0.851,0.851,0.851,0.851,0.839,0.044,0.851,0.851,0.472,0.851,0.508,0.510,0.510,0.851,0.886,0.851,0.508
56,56,0.166,0.166,0.045,0.166,0.166,0.166,0.166,0.045,0.166,0.169,0.166,0.562,0.045,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.876,0.166,0.166,0.166,0.422,0.166,0.116,0.166,0.166,0.166,0.166,0.166,0.745,0.166,0.273,0.745,0.166
57,57,0.602,0.602,0.562,0.602,0.602,0.602,0.602,0.459,0.602,0.367,0.602,0.748,0.459,0.602,0.727,0.310,0.602,0.602,0.602,0.675,0.602,0.748,0.602,0.303,0.602,0.612,0.675,0.602,0.450,0.195,0.602,0.489,0.602,0.362,0.602,0.748,0.362,0.489
58,58,0.708,0.156,0.649,0.857,0.156,0.708,0.397,0.437,0.708,0.716,0.708,0.925,0.437,0.708,0.378,0.784,0.708,0.142,0.708,0.378,0.667,0.708,0.708,0.708,0.708,0.708,0.378,0.649,0.419,0.148,0.790,0.419,0.708,0.708,0.708,0.429,0.667,0.419
59,59,0.658,0.658,0.471,0.658,0.658,0.658,0.658,0.553,0.658,0.181,0.658,0.830,0.553,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.949,0.658,0.658,0.658,0.658,0.658,0.563,0.658,0.658,0.658,0.658,0.658,0.949,0.658,0.949,0.277,0.658
60,60,0.012,0.012,0.005,0.012,0.012,0.012,0.012,0.005,0.060,0.017,0.060,0.111,0.005,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.058,0.111,0.023,0.012,0.012,0.011,0.012,0.012,0.012,0.012,0.012,0.023,0.024,0.194,0.058,0.033,0.069,0.023
61,61,0.019,0.037,0.019,0.037,0.037,0.019,0.019,0.022,0.019,0.019,0.019,0.019,0.022,0.019,0.019,0.019,0.019,0.019,0.019,0.017,0.019,0.019,0.019,0.019,0.017,0.069,0.017,0.019,0.019,0.019,0.019,0.023,0.023,0.016,0.023,0.049,0.069,0.023
62,62,0.468,0.458,0.595,0.405,0.458,0.468,0.468,0.451,0.468,0.221,0.468,0.262,0.451,0.468,0.468,0.726,0.468,0.468,0.468,0.468,0.468,0.468,0.240,0.468,0.468,0.468,0.468,0.424,0.721,0.468,0.618,0.427,0.468,0.217,0.186,0.409,0.212,0.427
63,63,0.776,0.776,0.909,0.776,0.050,0.776,0.776,0.178,0.776,0.776,0.776,0.776,0.178,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.355,0.776,0.073,0.776,0.178,0.776,0.776,0.178,0.178,0.776,0.178
64,64,0.014,0.011,0.012,0.011,0.011,0.014,0.014,0.032,0.094,0.014,0.094,0.014,0.032,0.014,0.014,0.014,0.014,0.014,0.014,0.016,0.014,0.014,0.014,0.014,0.016,0.013,0.016,0.056,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.011,0.014
65,65,0.613,0.305,0.628,0.094,0.179,0.812,0.145,0.608,0.613,0.613,0.613,0.613,0.608,0.067,0.332,0.613,0.613,0.332,0.613,0.639,0.613,0.613,0.613,0.067,0.455,0.613,0.639,0.744,0.613,0.225,0.613,0.299,0.613,0.613,0.613,0.613,0.564,0.299
66,66,0.422,0.711,0.746,0.422,0.711,0.422,0.439,0.190,0.422,0.422,0.422,0.422,0.190,0.422,0.422,0.422,0.422,0.422,0.422,0.711,0.422,0.422,0.422,0.711,0.422,0.422,0.711,0.120,0.711,0.202,0.422,0.161,0.422,0.422,0.161,0.211,0.711,0.161
67,67,0.157,0.157,0.075,0.157,0.157,0.157,0.157,0.056,0.013,0.031,0.013,0.157,0.056,0.157,0.157,0.157,0.157,0.157,0.157,0.081,0.157,0.157,0.157,0.157,0.081,0.078,0.081,0.157,0.157,0.157,0.157,0.157,0.013,0.157,0.157,0.157,0.013,0.157
68,68,0.345,0.126,0.334,0.188,0.126,0.345,0.553,0.212,0.345,0.339,0.345,0.345,0.212,0.345,0.301,0.473,0.345,0.141,0.345,0.301,0.345,0.345,0.345,0.551,0.345,0.428,0.301,0.669,0.371,0.345,0.345,0.079,0.345,0.345,0.345,0.345,0.287,0.079
69,69,0.082,0.082,0.099,0.082,0.008,0.082,0.008,0.106,0.344,0.165,0.344,0.082,0.106,0.008,0.082,0.082,0.082,0.082,0.082,0.008,0.190,0.082,0.096,0.008,0.082,0.099,0.008,0.082,0.082,0.008,0.082,0.190,0.414,0.190,0.190,0.190,0.082,0.190
70,70,0.480,0.040,0.521,0.136,0.040,0.480,0.480,0.322,0.480,0.480,0.480,0.480,0.322,0.480,0.066,0.480,0.480,0.066,0.480,0.099,0.480,0.480,0.480,0.378,0.480,0.480,0.099,0.954,0.480,0.099,0.480,0.286,0.480,0.461,0.286,0.045,0.461,0.286
71,71,0.123,0.075,0.357,0.119,0.075,0.123,0.425,0.153,0.063,0.123,0.063,0.123,0.153,0.123,0.032,0.123,0.123,0.032,0.123,0.032,0.647,0.123,0.647,0.123,0.123,0.356,0.032,0.363,0.123,0.075,0.123,0.647,0.647,0.647,0.123,0.123,0.158,0.647
72,72,0.329,0.101,0.316,0.128,0.101,0.329,0.258,0.846,0.329,0.202,0.329,0.329,0.846,0.329,0.093,0.258,0.329,0.106,0.329,0.101,0.035,0.329,0.329,0.329,0.329,0.630,0.101,0.102,0.080,0.223,0.329,0.080,0.367,0.324,0.329,0.355,0.324,0.080
73,73,0.054,0.054,0.048,0.054,0.054,0.054,0.054,0.048,0.054,0.109,0.054,0.110,0.048,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.211,0.054,0.209,0.771,0.054,0.270,0.771,0.054,0.054,0.054,0.196,0.110,0.771
74,74,0.244,0.244,0.240,0.244,0.244,0.244,0.244,0.240,0.244,0.244,0.244,0.244,0.240,0.244,0.244,0.244,0.244,0.244,0.244,0.391,0.244,0.244,0.244,0.244,0.391,0.269,0.391,0.545,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244
75,75,0.091,0.091,0.093,0.069,0.091,0.091,0.091,0.134,0.091,0.091,0.091,0.091,0.134,0.091,0.078,0.091,0.091,0.078,0.091,0.066,0.091,0.091,0.091,0.091,0.066,0.070,0.066,0.091,0.091,0.091,0.091,0.062,0.062,0.062,0.062,0.091,0.091,0.062
76,76,0.490,0.061,0.525,0.490,0.061,0.490,0.490,0.731,0.490,0.218,0.490,0.837,0.731,0.490,0.490,0.490,0.490,0.490,0.490,0.166,0.490,0.701,0.490,0.043,0.490,0.412,0.166,0.490,0.040,0.061,0.490,0.166,0.490,0.802,0.490,0.715,0.802,0.166
77,77,0.046,0.046,0.032,0.046,0.046,0.046,0.046,0.032,0.046,0.300,0.046,0.226,0.032,0.046,0.046,0.046,0.046,0.046,0.046,0.124,0.046,0.226,0.046,0.046,0.124,0.112,0.124,0.130,0.046,0.046,0.046,0.046,0.046,0.226,0.046,0.226,0.226,0.046
78,78,0.089,0.140,0.281,0.126,0.092,0.089,0.089,0.162,0.485,0.089,0.485,0.089,0.162,0.089,0.092,0.089,0.089,0.092,0.089,0.092,0.485,0.089,0.485,0.089,0.089,0.402,0.092,0.233,0.089,0.043,0.089,0.056,0.485,0.485,0.089,0.381,0.220,0.056
79,79,0.115,0.010,0.140,0.115,0.010,0.115,0.115,0.101,0.115,0.161,0.115,0.158,0.101,0.115,0.021,0.115,0.115,0.021,0.115,0.048,0.115,0.115,0.115,0.115,0.146,0.150,0.048,0.203,0.039,0.021,0.115,0.223,0.115,0.132,0.115,0.068,0.039,0.223
80,80,0.246,0.246,0.134,0.246,0.246,0.246,0.164,0.153,0.033,0.246,0.033,0.246,0.153,0.246,0.246,0.125,0.246,0.246,0.246,0.246,0.029,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.125,0.246,0.246,0.379,0.037,0.246,0.029,0.246,0.246,0.379
81,81,0.008,0.008,0.004,0.008,0.008,0.008,0.008,0.004,0.008,0.094,0.008,0.323,0.004,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.003,0.323,0.008,0.008,0.008,0.038,0.008,0.008,0.008,0.008,0.008,0.008,0.162,0.323,0.008,0.045,0.045,0.008
82,82,0.092,0.113,0.166,0.113,0.113,0.092,0.092,0.109,0.037,0.092,0.037,0.092,0.109,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.026,0.092,0.092,0.092,0.092,0.748,0.092,0.313,0.092,0.092,0.092,0.026,0.042,0.092,0.026,0.211,0.130,0.026
83,83,0.734,0.734,0.865,0.734,0.734,0.734,0.734,0.865,0.734,0.734,0.734,0.808,0.865,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.163,0.734,0.734,0.734,0.734,0.847,0.734,0.734,0.403,0.734,0.734,0.734,0.847,0.734,0.403
84,84,0.973,0.973,0.969,0.973,0.973,0.965,0.969,0.970,0.973,0.973,0.973,0.973,0.970,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.955,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
85,85,0.138,0.138,0.053,0.138,0.138,0.138,0.138,0.053,0.256,0.089,0.256,0.138,0.053,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.337,0.138,0.256,0.138,0.138,0.083,0.138,0.398,0.138,0.138,0.138,0.164,0.253,0.164,0.337,0.337,0.138,0.164
86,86,0.053,0.017,0.067,0.048,0.017,0.053,0.217,0.060,0.047,0.053,0.034,0.053,0.060,0.053,0.033,0.053,0.053,0.033,0.053,0.033,0.045,0.053,0.053,0.053,0.053,0.053,0.033,0.326,0.053,0.033,0.053,0.046,0.045,0.053,0.046,0.910,0.053,0.046
87,87,0.229,0.158,0.212,0.229,0.158,0.229,0.352,0.125,0.229,0.218,0.229,0.089,0.125,0.229,0.311,0.430,0.229,0.162,0.229,0.274,0.229,0.229,0.229,0.273,0.229,0.198,0.274,0.033,0.232,0.109,0.445,0.245,0.229,0.229,0.044,0.273,0.138,0.245
