,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42
10,10,0.955,0.557,0.265,0.557,0.114,0.615,0.955,0.955,0.955,0.955,0.955,0.372,0.955,0.723,0.972,0.930,0.608,0.955,0.608,0.190,0.930,0.955,0.955,0.955,0.955,0.955,0.955,0.190,0.955,0.955,0.955,0.955,0.955,0.818,0.816,0.955,0.608,0.955,0.955,0.715,0.955,0.955,0.955,0.903
11,11,0.917,0.212,0.917,0.917,0.203,0.053,0.917,0.917,0.917,0.917,0.917,0.142,0.917,0.917,0.957,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.142,0.917,0.917,0.957,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.957,0.142,0.917
12,12,0.974,0.701,0.974,0.733,0.870,0.411,0.974,0.974,0.974,0.974,0.992,0.971,0.974,0.952,0.972,0.951,0.579,0.974,0.579,0.974,0.951,0.974,0.974,0.974,0.974,0.992,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.873,0.974,0.974,0.992,0.974,0.974,0.974,0.974,0.406,0.579,0.520
13,13,0.975,0.975,0.975,0.975,0.881,0.795,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
14,14,0.179,0.626,0.179,0.626,0.795,0.698,0.179,0.179,0.179,0.179,0.179,0.795,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.050,0.179,0.179,0.179,0.224,0.179,0.820,0.179,0.179,0.179,0.179,0.035,0.179,0.179,0.824,0.129
15,15,0.400,0.063,0.400,0.063,0.396,0.048,0.400,0.727,0.580,0.727,0.400,0.725,0.400,0.489,0.553,0.395,0.283,0.400,0.283,0.400,0.395,0.400,0.400,0.076,0.149,0.400,0.727,0.400,0.804,0.149,0.076,0.400,0.294,0.192,0.076,0.076,0.076,0.149,0.727,0.400,0.727,0.283,0.101,0.315
16,16,0.879,0.732,0.848,0.732,0.846,0.722,0.879,0.879,0.879,0.879,0.879,0.891,0.879,0.056,0.879,0.879,0.056,0.879,0.056,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.839,0.879,0.879,0.879,0.839,0.580,0.879,0.879,0.879,0.879,0.879,0.629,0.879,0.879,0.086,0.227
17,17,0.208,0.208,0.208,0.208,0.258,0.082,0.208,0.208,0.081,0.208,0.566,0.258,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.383,0.208,0.208,0.208,0.208,0.377,0.208,0.383,0.130,0.377,0.566,0.208,0.062,0.208,0.208,0.208,0.208,0.208,0.062,0.132,0.107
18,18,0.197,0.063,0.197,0.063,0.693,0.693,0.197,0.197,0.197,0.197,0.197,0.791,0.197,0.038,0.197,0.197,0.038,0.197,0.038,0.197,0.197,0.197,0.197,0.669,0.197,0.197,0.197,0.197,0.140,0.197,0.140,0.669,0.140,0.035,0.186,0.507,0.687,0.158,0.188,0.197,0.728,0.328,0.197,0.652
19,19,0.910,0.752,0.303,0.752,0.191,0.549,0.910,0.910,0.910,0.910,0.910,0.329,0.910,0.467,0.917,0.833,0.309,0.910,0.309,0.329,0.833,0.910,0.910,0.910,0.910,0.910,0.910,0.329,0.910,0.910,0.910,0.910,0.910,0.617,0.787,0.910,0.309,0.910,0.910,0.824,0.910,0.910,0.787,0.309
20,20,0.369,0.385,0.574,0.461,0.205,0.079,0.369,0.369,0.369,0.369,0.369,0.275,0.369,0.369,0.465,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.462,0.369,0.473,0.369,0.369,0.508,0.369,0.224,0.462,0.508,0.591,0.238,0.315,0.315,0.581,0.492,0.712,0.385,0.439,0.122,0.367
21,21,0.705,0.304,0.705,0.098,0.086,0.051,0.705,0.058,0.378,0.058,0.058,0.162,0.705,0.532,0.922,0.663,0.254,0.705,0.254,0.705,0.711,0.705,0.705,0.150,0.058,0.705,0.705,0.705,0.435,0.102,0.670,0.594,0.854,0.464,0.589,0.705,0.705,0.705,0.705,0.033,0.059,0.046,0.193,0.354
22,22,0.911,0.756,0.911,0.767,0.103,0.052,0.911,0.911,0.911,0.911,0.911,0.103,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.027,0.911,0.911,0.911,0.911,0.911,0.911,0.027,0.767,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.279,0.911
23,23,0.351,0.322,0.346,0.322,0.221,0.108,0.351,0.351,0.351,0.351,0.351,0.182,0.351,0.264,0.275,0.351,0.264,0.351,0.264,0.351,0.351,0.351,0.351,0.428,0.351,0.351,0.351,0.351,0.261,0.351,0.224,0.399,0.261,0.199,0.374,0.355,0.279,0.338,0.408,0.491,0.253,0.124,0.186,0.269
24,24,0.041,0.190,0.041,0.190,0.507,0.049,0.041,0.080,0.051,0.080,0.041,0.507,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.006,0.014,0.041,0.080,0.041,0.229,0.014,0.006,0.041,0.162,0.041,0.090,0.006,0.006,0.014,0.080,0.016,0.080,0.041,0.081,0.041
25,25,0.382,0.361,0.382,0.361,0.023,0.014,0.382,0.052,0.295,0.052,0.187,0.060,0.382,0.404,0.177,0.237,0.382,0.382,0.382,0.382,0.404,0.382,0.382,0.263,0.052,0.382,0.382,0.105,0.127,0.382,0.324,0.218,0.550,0.095,0.026,0.104,0.033,0.194,0.105,0.076,0.082,0.053,0.304,0.087
26,26,0.986,0.601,0.986,0.601,0.809,0.716,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.971,0.996,0.957,0.701,0.986,0.701,0.986,0.957,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.857,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.701,0.701,0.986
27,27,0.211,0.211,0.211,0.211,0.692,0.692,0.211,0.211,0.211,0.211,0.211,0.820,0.211,0.211,0.219,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.172,0.211,0.211,0.211,0.211,0.166,0.211,0.093,0.172,0.166,0.219,0.190,0.603,0.533,0.211,0.203,0.211,0.172,0.172,0.080,0.812
28,28,0.936,0.902,0.936,0.902,0.899,0.841,0.936,0.936,0.936,0.936,0.936,0.957,0.936,0.458,0.979,0.749,0.309,0.936,0.309,0.936,0.749,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.988,0.936,0.936,0.936,0.988,0.898,0.949,0.936,0.309,0.936,0.936,0.936,0.936,0.906,0.902,0.309
29,29,0.907,0.301,0.907,0.301,0.846,0.756,0.907,0.907,0.907,0.907,0.907,0.892,0.907,0.405,0.836,0.907,0.405,0.907,0.405,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.694,0.907,0.907,0.907,0.694,0.405,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.900
30,30,0.425,0.425,0.011,0.425,0.021,0.060,0.425,0.425,0.425,0.425,0.425,0.060,0.425,0.425,0.425,0.425,0.425,0.011,0.425,0.425,0.425,0.425,0.425,0.039,0.036,0.425,0.425,0.011,0.141,0.007,0.141,0.425,0.639,0.425,0.006,0.331,0.639,0.425,0.425,0.425,0.036,0.039,0.006,0.358
31,31,0.937,0.508,0.937,0.508,0.808,0.687,0.937,0.937,0.937,0.937,0.937,0.672,0.937,0.760,0.937,0.937,0.760,0.937,0.760,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.760,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937
32,32,0.793,0.793,0.793,0.793,0.209,0.091,0.793,0.104,0.028,0.793,0.104,0.209,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.021,0.023,0.793,0.793,0.793,0.752,0.028,0.164,0.793,0.834,0.030,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.344,0.234,0.699
33,33,0.870,0.149,0.870,0.149,0.684,0.684,0.870,0.870,0.870,0.870,0.870,0.684,0.870,0.149,0.870,0.870,0.149,0.870,0.149,0.870,0.870,0.870,0.870,0.618,0.870,0.870,0.870,0.870,0.870,0.870,0.618,0.618,0.870,0.149,0.870,0.870,0.870,0.870,0.870,0.870,0.618,0.870,0.870,0.778
34,34,0.615,0.615,0.615,0.615,0.151,0.075,0.615,0.046,0.234,0.615,0.443,0.206,0.615,0.246,0.330,0.615,0.246,0.615,0.246,0.615,0.615,0.615,0.615,0.229,0.615,0.615,0.615,0.615,0.641,0.443,0.229,0.232,0.748,0.330,0.097,0.222,0.246,0.615,0.877,0.331,0.330,0.232,0.309,0.283
35,35,0.921,0.566,0.921,0.566,0.667,0.667,0.921,0.921,0.921,0.921,0.921,0.421,0.921,0.566,0.921,0.921,0.566,0.921,0.566,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921
36,36,0.048,0.048,0.048,0.048,0.093,0.093,0.048,0.004,0.051,0.004,0.301,0.093,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.022,0.004,0.720,0.048,0.048,0.120,0.048,0.122,0.048,0.697,0.048,0.125,0.004,0.295,0.004,0.720,0.301,0.004,0.295,0.136,0.059
37,37,0.765,0.845,0.454,0.845,0.803,0.690,0.765,0.765,0.765,0.765,0.765,0.423,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.845,0.765,0.765,0.765,0.765,0.765,0.985,0.765,0.845,0.765
38,38,0.103,0.103,0.119,0.103,0.035,0.021,0.103,0.103,0.103,0.103,0.103,0.056,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.119,0.103,0.103,0.067,0.103,0.103,0.103,0.103,0.103,0.103,0.119,0.103,0.103,0.103,0.130,0.056,0.353
39,39,0.075,0.195,0.075,0.073,0.128,0.062,0.075,0.075,0.075,0.075,0.075,0.131,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.499,0.075,0.075,0.075,0.075,0.362,0.075,0.039,0.499,0.362,0.075,0.157,0.511,0.075,0.075,0.372,0.076,0.372,0.364,0.022,0.411
40,40,0.004,0.004,0.004,0.004,0.508,0.055,0.004,0.036,0.074,0.036,0.277,0.508,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.073,0.002,0.277,0.036,0.004,0.524,0.002,0.073,0.005,0.133,0.004,0.059,0.003,0.079,0.002,0.084,0.277,0.036,0.045,0.079,0.014
41,41,0.035,0.900,0.095,0.900,0.109,0.531,0.035,0.035,0.035,0.035,0.035,0.169,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.095,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.015,0.035,0.035,0.035,0.035,0.035,0.900,0.095,0.032,0.025,0.095,0.095,0.095,0.032,0.057,0.095,0.107
42,42,0.027,0.462,0.027,0.462,0.623,0.011,0.027,0.027,0.027,0.027,0.027,0.623,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.015,0.027,0.027,0.027,0.027,0.003,0.027,0.015,0.035,0.235,0.027,0.495,0.027,0.027,0.027,0.027,0.028,0.002,0.003,0.510,0.083
43,43,0.754,0.071,0.754,0.491,0.036,0.053,0.754,0.754,0.027,0.754,0.941,0.030,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.009,0.754,0.754,0.754,0.754,0.009,0.754,0.021,0.545,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.545,0.754,0.107,0.754
44,44,0.256,0.256,0.256,0.256,0.021,0.015,0.256,0.590,0.256,0.590,0.256,0.299,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.089,0.126,0.052,0.256,0.256,0.215,0.126,0.207,0.256,0.482,0.032,0.147,0.007,0.032,0.590,0.130,0.016,0.014,0.256,0.318,0.016
45,45,0.866,0.609,0.866,0.866,0.657,0.497,0.866,0.866,0.866,0.866,0.992,0.591,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.992,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.465,0.866,0.866,0.866,0.866,0.500,0.866,0.452
46,46,0.819,0.590,0.819,0.590,0.773,0.669,0.819,0.819,0.819,0.819,0.819,0.783,0.819,0.819,0.776,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.398,0.819,0.819,0.819,0.398,0.776,0.453,0.819,0.819,0.819,0.819,0.391,0.819,0.650,0.144,0.819
47,47,0.941,0.234,0.941,0.234,0.798,0.679,0.941,0.941,0.941,0.941,0.941,0.891,0.941,0.385,0.966,0.878,0.165,0.941,0.165,0.941,0.878,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.648,0.475,0.941,0.202,0.941,0.941,0.886,0.941,0.949,0.244,0.202
48,48,0.168,0.058,0.168,0.058,0.520,0.051,0.168,0.455,0.336,0.455,0.168,0.462,0.168,0.159,0.168,0.168,0.159,0.168,0.159,0.168,0.168,0.168,0.168,0.027,0.053,0.168,0.455,0.168,0.718,0.053,0.027,0.168,0.206,0.159,0.027,0.027,0.027,0.053,0.455,0.168,0.455,0.168,0.072,0.171
49,49,0.792,0.268,0.792,0.268,0.690,0.690,0.792,0.792,0.792,0.792,0.792,0.786,0.792,0.268,0.852,0.792,0.268,0.792,0.268,0.792,0.792,0.792,0.792,0.522,0.792,0.792,0.792,0.792,0.529,0.792,0.522,0.522,0.529,0.852,0.751,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.537,0.346
50,50,0.837,0.093,0.837,0.105,0.548,0.060,0.837,0.837,0.605,0.837,0.881,0.557,0.837,0.599,0.801,0.837,0.599,0.837,0.599,0.837,0.837,0.837,0.837,0.555,0.837,0.837,0.837,0.837,0.707,0.837,0.186,0.523,0.707,0.801,0.837,0.837,0.837,0.837,0.837,0.632,0.869,0.625,0.186,0.837
51,51,0.014,0.233,0.080,0.233,0.165,0.046,0.014,0.069,0.056,0.069,0.014,0.192,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.080,0.014,0.014,0.014,0.052,0.008,0.014,0.069,0.011,0.262,0.008,0.052,0.014,0.054,0.233,0.016,0.007,0.040,0.029,0.158,0.080,0.041,0.014,0.054,0.054
52,52,0.656,0.822,0.699,0.822,0.788,0.679,0.656,0.656,0.656,0.656,0.656,0.677,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.876,0.822,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.822,0.293
53,53,0.698,0.233,0.698,0.233,0.095,0.048,0.698,0.698,0.698,0.698,0.698,0.078,0.698,0.094,0.698,0.698,0.094,0.698,0.094,0.698,0.698,0.698,0.698,0.055,0.043,0.698,0.698,0.698,0.515,0.043,0.231,0.420,0.698,0.324,0.698,0.515,0.698,0.698,0.698,0.698,0.420,0.493,0.196,0.290
54,54,0.331,0.864,0.331,0.864,0.830,0.720,0.331,0.331,0.331,0.331,0.331,0.864,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.755,0.331,0.700,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.706,0.331
55,55,0.851,0.113,0.851,0.113,0.179,0.179,0.851,0.851,0.851,0.851,0.851,0.179,0.851,0.044,0.851,0.851,0.113,0.851,0.113,0.851,0.851,0.851,0.851,0.179,0.851,0.851,0.851,0.851,0.233,0.851,0.467,0.468,0.233,0.851,0.233,0.530,0.233,0.233,0.233,0.851,0.860,0.851,0.851,0.593
56,56,0.166,0.166,0.166,0.166,0.581,0.467,0.166,0.166,0.233,0.166,0.883,0.581,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.595,0.166,0.883,0.166,0.166,0.586,0.166,0.595,0.166,0.239,0.166,0.883,0.166,0.528,0.166,0.883,0.883,0.166,0.268,0.137,0.116
57,57,0.602,0.602,0.602,0.602,0.110,0.078,0.602,0.602,0.392,0.602,0.913,0.468,0.602,0.562,0.566,0.232,0.602,0.602,0.602,0.602,0.562,0.602,0.602,0.602,0.602,0.913,0.602,0.070,0.496,0.602,0.602,0.602,0.611,0.232,0.330,0.602,0.330,0.602,0.330,0.933,0.602,0.107,0.118,0.063
58,58,0.708,0.456,0.708,0.579,0.053,0.014,0.708,0.708,0.620,0.757,0.910,0.104,0.708,0.319,0.669,0.612,0.138,0.708,0.138,0.708,0.612,0.708,0.708,0.051,0.073,0.708,0.708,0.708,0.086,0.073,0.449,0.480,0.708,0.218,0.875,0.708,0.138,0.708,0.708,0.480,0.348,0.700,0.197,0.138
59,59,0.658,0.658,0.658,0.658,0.161,0.100,0.658,0.658,0.246,0.658,0.975,0.603,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.414,0.658,0.975,0.658,0.658,0.294,0.658,0.414,0.658,0.658,0.658,0.142,0.658,0.975,0.658,0.975,0.033,0.658,0.151,0.142,0.658
60,60,0.012,0.012,0.012,0.012,0.508,0.055,0.012,0.066,0.074,0.066,0.334,0.508,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.072,0.007,0.334,0.066,0.012,0.523,0.007,0.072,0.005,0.101,0.012,0.087,0.002,0.078,0.007,0.671,0.037,0.066,0.051,0.084,0.026
61,61,0.019,0.226,0.019,0.226,0.699,0.699,0.019,0.019,0.019,0.019,0.019,0.699,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.040,0.019,0.019,0.019,0.019,0.206,0.019,0.020,0.040,0.206,0.019,0.198,0.165,0.131,0.023,0.040,0.232,0.163,0.089,0.226,0.135
62,62,0.468,0.107,0.468,0.515,0.071,0.070,0.468,0.468,0.056,0.468,0.955,0.109,0.468,0.468,0.419,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.110,0.468,0.658,0.468,0.468,0.459,0.250,0.230,0.467,0.555,0.582,0.254,0.370,0.402,0.637,0.402,0.884,0.784,0.583,0.065,0.370
63,63,0.776,0.776,0.776,0.776,0.068,0.071,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.205,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.068,0.776,0.068,0.068,0.776,0.068,0.068,0.068,0.776,0.776,0.068
64,64,0.014,0.013,0.014,0.013,0.515,0.050,0.014,0.109,0.014,0.109,0.014,0.151,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.063,0.109,0.014,0.109,0.014,0.472,0.014,0.045,0.189,0.053,0.014,0.009,0.010,0.014,0.014,0.109,0.082,0.026,0.162,0.020,0.039
65,65,0.613,0.135,0.284,0.135,0.239,0.587,0.613,0.613,0.613,0.613,0.613,0.250,0.613,0.256,0.613,0.613,0.256,0.613,0.256,0.041,0.613,0.613,0.613,0.614,0.613,0.613,0.613,0.041,0.613,0.613,0.613,0.614,0.613,0.288,0.166,0.613,0.613,0.613,0.613,0.653,0.608,0.871,0.144,0.613
66,66,0.422,0.422,0.422,0.422,0.109,0.077,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.690,0.422,0.422,0.422,0.422,0.422,0.096,0.168,0.079,0.079,0.422,0.085,0.085,0.096,0.422,0.168,0.114
67,67,0.157,0.157,0.157,0.157,0.053,0.053,0.157,0.062,0.022,0.062,0.157,0.102,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.015,0.157,0.157,0.157,0.157,0.065,0.157,0.013,0.031,0.408,0.157,0.010,0.034,0.404,0.157,0.157,0.062,0.015,0.127,0.062,0.383
68,68,0.345,0.186,0.549,0.021,0.047,0.028,0.345,0.345,0.141,0.345,0.345,0.125,0.345,0.297,0.426,0.410,0.153,0.345,0.153,0.345,0.410,0.345,0.345,0.141,0.345,0.345,0.345,0.549,0.382,0.345,0.050,0.345,0.431,0.129,0.284,0.345,0.153,0.549,0.345,0.103,0.345,0.466,0.128,0.345
69,69,0.082,0.082,0.009,0.082,0.204,0.047,0.082,0.648,0.255,0.648,0.082,0.204,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.007,0.082,0.082,0.082,0.047,0.050,0.082,0.648,0.007,0.346,0.050,0.047,0.082,0.064,0.082,0.017,0.017,0.062,0.050,0.062,0.082,0.016,0.082,0.150,0.093
70,70,0.480,0.175,0.480,0.175,0.177,0.101,0.480,0.480,0.480,0.126,0.480,0.251,0.480,0.200,0.480,0.480,0.200,0.480,0.200,0.480,0.480,0.480,0.480,0.122,0.480,0.480,0.480,0.126,0.480,0.480,0.122,0.122,0.480,0.480,0.147,0.126,0.480,0.126,0.480,0.088,0.126,0.880,0.147,0.165
71,71,0.123,0.039,0.123,0.039,0.532,0.050,0.123,0.698,0.123,0.698,0.123,0.204,0.123,0.088,0.123,0.123,0.088,0.123,0.088,0.123,0.123,0.123,0.123,0.133,0.698,0.123,0.698,0.123,0.740,0.123,0.133,0.580,0.254,0.088,0.035,0.066,0.123,0.066,0.698,0.228,0.123,0.123,0.069,0.123
72,72,0.329,0.180,0.329,0.069,0.102,0.061,0.329,0.329,0.312,0.329,0.329,0.179,0.329,0.116,0.453,0.316,0.123,0.329,0.123,0.329,0.316,0.329,0.329,0.145,0.042,0.329,0.329,0.329,0.512,0.048,0.172,0.358,0.639,0.260,0.155,0.512,0.302,0.302,0.302,0.331,0.853,0.268,0.184,0.423
73,73,0.054,0.264,0.054,0.054,0.118,0.047,0.054,0.054,0.048,0.054,0.846,0.118,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.155,0.054,0.054,0.054,0.054,0.137,0.054,0.291,0.054,0.233,0.671,0.128,0.054,0.054,0.858,0.054,0.054,0.054,0.453,0.101,0.023
74,74,0.244,0.244,0.244,0.244,0.876,0.788,0.244,0.244,0.244,0.244,0.244,0.876,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.635,0.244,0.244,0.244,0.244,0.341,0.244,0.133,0.635,0.341,0.244,0.244,0.133,0.244,0.244,0.244,0.244,0.635,0.635,0.244,0.582
75,75,0.091,0.091,0.091,0.091,0.312,0.312,0.091,0.091,0.091,0.091,0.091,0.312,0.091,0.039,0.091,0.091,0.077,0.091,0.077,0.091,0.091,0.091,0.091,0.118,0.091,0.091,0.091,0.091,0.055,0.091,0.280,0.396,0.079,0.091,0.069,0.426,0.305,0.069,0.069,0.091,0.479,0.418,0.091,0.563
