,id,l_3c_0,l_3c_1,l_3c_2,l_3c_3,l_3c_4,l_3c_5,l_3c_6,l_3c_7,l_3c_8,l_3c_9,sommet,class
74,74.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1855.0,0.0
75,75.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1884.0,0.0
76,76.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1909.0,1.0
77,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1927.0,0.0
78,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1965.0,1.0
79,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1986.0,0.0
80,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2009.0,1.0
81,81.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2034.0,0.0
82,82.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2054.0,0.0
83,83.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2087.0,0.0
84,84.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2121.0,0.0
85,85.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2139.0,1.0
86,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2158.0,1.0
87,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2186.0,1.0
88,88.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2207.0,1.0
89,89.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2243.0,0.0
90,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2262.0,0.0
91,91.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2293.0,0.0
92,92.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2319.0,1.0
93,93.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2332.0,0.0
94,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2358.0,1.0
95,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2379.0,0.0
96,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2403.0,1.0
97,97.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2431.0,0.0
98,98.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2463.0,0.0
99,99.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2481.0,1.0
100,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2511.0,1.0
101,101.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2549.0,0.0
102,102.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2559.0,1.0
103,103.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2594.0,0.0
104,104.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2609.0,1.0
105,105.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2634.0,1.0
106,106.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2657.0,1.0
107,107.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2684.0,1.0
108,108.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2718.0,0.0
109,109.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2729.0,1.0
110,110.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2757.0,1.0
111,111.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2783.0,1.0
112,112.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2814.0,1.0
113,113.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2842.0,1.0
114,114.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2852.0,0.0
115,115.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2888.0,0.0
116,116.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2904.0,0.0
117,117.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2934.0,1.0
118,118.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2957.0,1.0
119,119.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2984.0,0.0
120,120.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3009.0,1.0
121,121.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3028.0,0.0
122,122.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3053.0,1.0
123,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3084.0,0.0
124,124.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3102.0,0.0
125,125.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3144.0,1.0
126,126.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3156.0,1.0
127,127.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3199.0,0.0
128,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3213.0,1.0
129,129.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3231.0,1.0
130,130.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3255.0,1.0
131,131.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3291.0,1.0
132,132.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3319.0,0.0
133,133.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3335.0,1.0
134,134.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3364.0,1.0
135,135.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3390.0,0.0
136,136.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3408.0,0.0
137,137.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3436.0,0.0
138,138.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3461.0,0.0
139,139.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3477.0,0.0
140,140.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3510.0,0.0
141,141.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3536.0,0.0
142,142.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3556.0,1.0
143,143.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3587.0,0.0
144,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3617.0,1.0
145,145.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3631.0,1.0
146,146.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3661.0,1.0
147,147.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3685.0,0.0
148,148.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3706.0,1.0
149,149.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3744.0,0.0
150,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3768.0,1.0
151,151.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3789.0,0.0
152,152.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3808.0,1.0
153,153.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3837.0,0.0
154,154.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3863.0,1.0
155,155.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3892.0,0.0
156,156.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3924.0,0.0
157,157.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3936.0,1.0
158,158.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3959.0,0.0
159,159.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3978.0,1.0
160,160.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4013.0,1.0
161,161.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4032.0,1.0
162,162.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4055.0,1.0
163,163.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4088.0,1.0
164,164.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4122.0,1.0
165,165.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4137.0,1.0
166,166.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4169.0,0.0
167,167.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4182.0,1.0
168,168.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4203.0,0.0
169,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4237.0,0.0
170,170.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4268.0,0.0
171,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4288.0,0.0
172,172.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4306.0,0.0
173,173.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4334.0,1.0
174,174.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4371.0,0.0
175,175.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4382.0,0.0
176,176.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4424.0,0.0
177,177.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4446.0,0.0
178,178.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4451.0,1.0
179,179.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4497.0,1.0
180,180.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4504.0,0.0
181,181.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4532.0,0.0
182,182.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4565.0,0.0
183,183.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4592.0,1.0
184,184.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4607.0,1.0
185,185.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4631.0,0.0
186,186.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4659.0,0.0
187,187.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4685.0,0.0
188,188.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4706.0,1.0
189,189.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4737.0,1.0
190,190.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4769.0,1.0
191,191.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4785.0,0.0
192,192.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4809.0,1.0
193,193.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4834.0,0.0
194,194.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4865.0,0.0
195,195.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4896.0,0.0
196,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4917.0,0.0
197,197.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4936.0,0.0
198,198.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4959.0,1.0
199,199.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4982.0,0.0
200,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5007.0,0.0
201,201.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5040.0,1.0
202,202.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5053.0,1.0
203,203.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5077.0,1.0
204,204.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5103.0,1.0
205,205.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5130.0,1.0
206,206.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5155.0,0.0
207,207.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5189.0,1.0
208,208.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5205.0,0.0
209,209.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5240.0,1.0
210,210.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5269.0,0.0
211,211.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5294.0,0.0
212,212.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5301.0,1.0
213,213.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5344.0,1.0
214,214.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5357.0,1.0
215,215.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5384.0,0.0
216,216.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5413.0,1.0
217,217.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5446.0,0.0
218,218.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5461.0,1.0
219,219.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5479.0,1.0
220,220.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5505.0,0.0
221,221.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5525.0,1.0
222,222.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5569.0,1.0
223,223.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5586.0,0.0
224,224.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5610.0,1.0
225,225.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5634.0,0.0
226,226.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5661.0,1.0
227,227.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5688.0,0.0
228,228.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5709.0,1.0
229,229.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5737.0,1.0
230,230.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5774.0,0.0
231,231.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5779.0,1.0
232,232.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5811.0,0.0
233,233.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5840.0,1.0
234,234.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5853.0,0.0
235,235.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5896.0,0.0
236,236.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5907.0,0.0
237,237.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5933.0,1.0
238,238.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5962.0,0.0
239,239.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5982.0,0.0
240,240.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6015.0,0.0
241,241.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6041.0,0.0
242,242.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6065.0,1.0
243,243.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6077.0,1.0
244,244.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6116.0,0.0
245,245.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6149.0,0.0
246,246.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6158.0,0.0
247,247.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6187.0,0.0
248,248.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6202.0,0.0
249,249.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6238.0,0.0
250,250.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6274.0,0.0
251,251.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6293.0,1.0
